,Unnamed: 0,Market_and_Exchange_Names,As_of_Date_In_Form_YYMMDD,Report_Date_as_MM_DD_YYYY,CFTC_Contract_Market_Code,CFTC_Market_Code,CFTC_Region_Code,CFTC_Commodity_Code,Open_Interest_All,NonComm_Positions_Long_All,NonComm_Positions_Short_All,NonComm_Postions_Spread_All,Comm_Positions_Long_All,Comm_Positions_Short_All,Tot_Rept_Positions_Long_All,Tot_Rept_Positions_Short_All,NonRept_Positions_Long_All,NonRept_Positions_Short_All,Open_Interest_Old,NonComm_Positions_Long_Old,NonComm_Positions_Short_Old,NonComm_Positions_Spread_Old,Comm_Positions_Long_Old,Comm_Positions_Short_Old,Tot_Rept_Positions_Long_Old,Tot_Rept_Positions_Short_Old,NonRept_Positions_Long_Old,NonRept_Positions_Short_Old,Open_Interest_Other,NonComm_Positions_Long_Other,NonComm_Positions_Short_Other,NonComm_Positions_Spread_Other,Comm_Positions_Long_Other,Comm_Positions_Short_Other,Tot_Rept_Positions_Long_Other,Tot_Rept_Positions_Short_Other,NonRept_Positions_Long_Other,NonRept_Positions_Short_Other,Change_in_Open_Interest_All,Change_in_NonComm_Long_All,Change_in_NonComm_Short_All,Change_in_NonComm_Spead_All,Change_in_Comm_Long_All,Change_in_Comm_Short_All,Change_in_Tot_Rept_Long_All,Change_in_Tot_Rept_Short_All,Change_in_NonRept_Long_All,Change_in_NonRept_Short_All,Pct_of_Open_Interest_All,Pct_of_OI_NonComm_Long_All,Pct_of_OI_NonComm_Short_All,Pct_of_OI_NonComm_Spread_All,Pct_of_OI_Comm_Long_All,Pct_of_OI_Comm_Short_All,Pct_of_OI_Tot_Rept_Long_All,Pct_of_OI_Tot_Rept_Short_All,Pct_of_OI_NonRept_Long_All,Pct_of_OI_NonRept_Short_All,Pct_of_Open_Interest_Old,Pct_of_OI_NonComm_Long_Old,Pct_of_OI_NonComm_Short_Old,Pct_of_OI_NonComm_Spread_Old,Pct_of_OI_Comm_Long_Old,Pct_of_OI_Comm_Short_Old,Pct_of_OI_Tot_Rept_Long_Old,Pct_of_OI_Tot_Rept_Short_Old,Pct_of_OI_NonRept_Long_Old,Pct_of_OI_NonRept_Short_Old,Pct_of_Open_Interest_Other,Pct_of_OI_NonComm_Long_Other,Pct_of_OI_NonComm_Short_Other,Pct_of_OI_NonComm_Spread_Other,Pct_of_OI_Comm_Long_Other,Pct_of_OI_Comm_Short_Other,Pct_of_OI_Tot_Rept_Long_Other,Pct_of_OI_Tot_Rept_Short_Other,Pct_of_OI_NonRept_Long_Other,Pct_of_OI_NonRept_Short_Other,Traders_Tot_All,Traders_NonComm_Long_All,Traders_NonComm_Short_All,Traders_NonComm_Spread_All,Traders_Comm_Long_All,Traders_Comm_Short_All,Traders_Tot_Rept_Long_All,Traders_Tot_Rept_Short_All,Traders_Tot_Old,Traders_NonComm_Long_Old,Traders_NonComm_Short_Old,Traders_NonComm_Spead_Old,Traders_Comm_Long_Old,Traders_Comm_Short_Old,Traders_Tot_Rept_Long_Old,Traders_Tot_Rept_Short_Old,Traders_Tot_Other,Traders_NonComm_Long_Other,Traders_NonComm_Short_Other,Traders_NonComm_Spread_Other,Traders_Comm_Long_Other,Traders_Comm_Short_Other,Traders_Tot_Rept_Long_Other,Traders_Tot_Rept_Short_Other,Conc_Gross_LE_4_TDR_Long_All,Conc_Gross_LE_4_TDR_Short_All,Conc_Gross_LE_8_TDR_Long_All,Conc_Gross_LE_8_TDR_Short_All,Conc_Net_LE_4_TDR_Long_All,Conc_Net_LE_4_TDR_Short_All,Conc_Net_LE_8_TDR_Long_All,Conc_Net_LE_8_TDR_Short_All,Conc_Gross_LE_4_TDR_Long_Old,Conc_Gross_LE_4_TDR_Short_Old,Conc_Gross_LE_8_TDR_Long_Old,Conc_Gross_LE_8_TDR_Short_Old,Conc_Net_LE_4_TDR_Long_Old,Conc_Net_LE_4_TDR_Short_Old,Conc_Net_LE_8_TDR_Long_Old,Conc_Net_LE_8_TDR_Short_Old,Conc_Gross_LE_4_TDR_Long_Other,Conc_Gross_LE_4_TDR_Short_Other,Conc_Gross_LE_8_TDR_Long_Other,Conc_Gross_LE_8_TDR_Short_Other,Conc_Net_LE_4_TDR_Long_Other,Conc_Net_LE_4_TDR_Short_Other,Conc_Net_LE_8_TDR_Long_Other,Conc_Net_LE_8_TDR_Short_Other,Contract_Units,NonComm_Pos,NonComm_Diff,NonComm_Signal1,Comm_Pos,Comm_Diff,Comm_Signal1,Trade_Date,CALL_USDCAD,PUT_USDCAD,Returns,Basic_PL,Total_Basic_PL,AR_Forecast_Returns,AR_Forecast_Diff,AR_Comb_Forecast,AR_Comb_PL,Total_AR_Comb_PL,Forecast_Volatility,hvol21,GARCH_PL,Total_GARCH__PL
0,0,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2006-01-03,03.01.2006,240743,CME,0,240,41230,16046,3139,174,15843,13002,32063,16315,9167,24915,41230,16046,3139,174,15843,13002,32063,16315,9167,24915,0,0,0,0,0,0,0,0,0,0,3372.0,139.0,-250.0,174.0,883.0,1499.0,1196.0,1423.0,2176.0,1949.0,100,38.9,7.6,0.4,38.4,31.5,77.8,39.6,22.2,60.4,100,38.9,7.6,0.4,38.4,31.5,77.8,39.6,22.2,60.4,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48,15,6,1,19,11,35,17,48,15,6,1,19,11,35,17,0,0,0,0,0,0,0,0,35.1,25.7,47.2,32.4,30.1,18.4,41.0,23.7,35.1,25.7,47.2,32.4,30.1,18.4,41.0,23.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(NIKKEI INDEX X 500 YEN),12907,0.672765181131,SHORT,2841,0.0984919396776,SHORT,2006-01-09,1126.0,1112.87,0.0,1112.87,1112.87,0.000862146778833,0.0985768541861,,0.0,0.0,0.0,,0.0,0.0
1,1,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2006-01-10,10.01.2006,246601,CBT,0,246,334,314,165,0,0,111,314,276,20,58,334,314,165,0,0,111,314,276,20,58,0,0,0,0,0,0,0,0,0,0,86.0,126.0,75.0,0.0,-45.0,0.0,81.0,75.0,5.0,11.0,100,94.0,49.4,0.0,0.0,33.2,94.0,82.6,6.0,17.4,100,94.0,49.4,0.0,0.0,33.2,94.0,82.6,6.0,17.4,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,3,2,0,0,1,3,3,6,3,2,0,0,1,3,3,0,0,0,0,0,0,0,0,94.0,82.6,94.0,82.6,94.0,82.6,94.0,82.6,94.0,82.6,94.0,82.6,94.0,82.6,94.0,82.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(NOTIONAL VALUE OF $25,000,000)",149,0.311064718163,SHORT,-111,-1.0,LONG,2006-01-16,966.79,941.65,-1.09849193968,966.79,2079.66,0.494627750735,-1.49462775073,-1.46276535693,966.79,966.79,0.146913848694,,0.0,0.0
2,2,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2006-01-17,17.01.2006,246602,CBT,0,246,37756,6047,6038,1046,29676,29327,36769,36411,987,1345,37756,6047,6038,1046,29676,29327,36769,36411,987,1345,0,0,0,0,0,0,0,0,0,0,1333.0,1675.0,80.0,0.0,-215.0,1444.0,1460.0,1524.0,-127.0,-191.0,100,16.0,16.0,2.8,78.6,77.7,97.4,96.4,2.6,3.6,100,16.0,16.0,2.8,78.6,77.7,97.4,96.4,2.6,3.6,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58,7,21,4,17,18,27,40,58,7,21,4,17,18,27,40,0,0,0,0,0,0,0,0,53.8,46.3,71.7,70.7,53.8,41.1,71.6,65.4,53.8,46.3,71.7,70.7,53.8,41.1,71.6,65.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF $100,000 NOTIONAL PRINCIPAL)",9,0.000744724865536,SHORT,349,0.00591495347694,SHORT,2006-01-23,1179.1,1193.61,1.00591495348,1193.61,3273.27,-0.450548833742,0.00324997808627,-0.0168150214755,0.0,966.79,0.811531277116,,0.0,0.0
3,3,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2006-01-24,24.01.2006,246602,CBT,0,246,53964,596,1655,150,52455,51297,53201,53102,763,862,53964,596,1655,150,52455,51297,53201,53102,763,862,0,0,0,0,0,0,0,0,0,0,-1813.0,-132.0,58.0,150.0,-2283.0,-1969.0,-2265.0,-1761.0,452.0,-52.0,100,1.1,3.1,0.3,97.2,95.1,98.6,98.4,1.4,1.6,100,1.1,3.1,0.3,97.2,95.1,98.6,98.4,1.4,1.6,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45,4,6,1,18,21,23,28,45,4,6,1,18,21,23,28,0,0,0,0,0,0,0,0,77.2,72.4,89.0,84.9,77.2,72.4,88.4,82.5,77.2,72.4,89.0,84.9,77.2,72.4,88.4,82.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF $100,000 NOTIONAL PRINCIPAL)",-1059,-0.470457574411,LONG,1158,0.0111612306269,SHORT,2006-01-30,1031.95,1027.49,0.00524627714996,1027.49,4300.76,-0.00110694835365,0.011148875721,0.0110441972762,0.0,966.79,0.438635849621,1.04621572161,1027.49,1027.49
4,4,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2006-01-31,31.01.2006,247601,CBT,0,246,573,0,25,0,518,498,518,523,55,50,573,0,25,0,518,498,518,523,55,50,0,0,0,0,0,0,0,0,0,0,-100.0,0.0,-5.0,0.0,-100.0,-95.0,-100.0,-100.0,0.0,0.0,100,0.0,4.4,0.0,90.4,86.9,90.4,91.3,9.6,8.7,100,0.0,4.4,0.0,90.4,86.9,90.4,91.3,9.6,8.7,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0,1,0,4,1,4,2,6,0,1,0,4,1,4,2,0,0,0,0,0,0,0,0,90.4,91.3,90.4,91.3,90.4,91.3,90.4,91.3,90.4,91.3,90.4,91.3,90.4,91.3,90.4,91.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(NOTIONAL VALUE OF $25,000,000)",-25,-1.0,LONG,20,0.0196850393701,SHORT,2006-02-06,945.03,961.43,0.0085238087432,961.43,5262.19,-0.00257902399021,0.0196342711813,0.0194648103702,0.0,966.79,0.259591297312,1.04409573394,961.43,1988.92
5,5,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2006-02-07,07.02.2006,249601,CBT,0,249,2766,1409,0,0,1346,2344,2755,2344,11,422,2766,1409,0,0,1346,2344,2755,2344,11,422,0,0,0,0,0,0,0,0,0,0,-410.0,-331.0,0.0,0.0,-3.0,-19.0,-334.0,-19.0,-76.0,-391.0,100,50.9,0.0,0.0,48.7,84.7,99.6,84.7,0.4,15.3,100,50.9,0.0,0.0,48.7,84.7,99.6,84.7,0.4,15.3,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,2,0,0,3,2,5,2,7,2,0,0,3,2,5,2,0,0,0,0,0,0,0,0,97.6,84.7,99.6,84.7,97.6,84.7,99.6,84.7,97.6,84.7,99.6,84.7,97.6,84.7,99.6,84.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF 100,000 CANADIAN DOLLARS)",1409,1.0,SHORT,-998,-0.270460704607,LONG,2006-02-13,950.27,917.35,-0.290145743977,950.27,6212.46,0.131565883369,-0.306044106125,-0.299529523215,950.27,1917.06,0.302513375054,0.922062384587,950.27,2939.19
6,6,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2006-02-14,14.02.2006,251601,CBT,0,251,1186,330,284,38,317,686,685,1008,501,178,1186,330,284,38,317,686,685,1008,501,178,0,0,0,0,0,0,0,0,0,0,33.0,-16.0,0.0,0.0,20.0,30.0,4.0,30.0,29.0,3.0,100,27.8,23.9,3.2,26.7,57.8,57.8,85.0,42.2,15.0,100,27.8,23.9,3.2,26.7,57.8,57.8,85.0,42.2,15.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,7,2,1,8,6,16,9,23,7,2,1,8,6,16,9,0,0,0,0,0,0,0,0,19.9,64.8,35.4,82.5,19.9,64.8,35.4,79.3,19.9,64.8,35.4,82.5,19.9,64.8,35.4,79.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TONS),46,0.0749185667752,SHORT,-369,-0.367896311067,LONG,2006-02-20,987.51,932.35,-0.09743560646,987.51,7199.97,0.0450117525277,-0.384455968777,-0.382176063493,987.51,2904.57,0.218367593088,0.49067571847,987.51,3926.7
7,7,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2006-02-21,21.02.2006,252601,CBT,0,252,308,0,0,0,250,279,250,279,58,29,308,0,0,0,250,279,250,279,58,29,0,0,0,0,0,0,0,0,0,0,33.0,-16.0,0.0,0.0,20.0,30.0,4.0,30.0,29.0,3.0,100,0.0,0.0,0.0,81.2,90.6,81.2,90.6,18.8,9.4,100,0.0,0.0,0.0,81.2,90.6,81.2,90.6,18.8,9.4,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0,0,3,2,3,2,5,0,0,0,3,2,3,2,0,0,0,0,0,0,0,0,81.2,90.6,81.2,90.6,81.2,90.6,81.2,90.6,81.2,90.6,81.2,90.6,81.2,90.6,81.2,90.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF $1,000,000 FACE VALUE)",0,0.0749185667752,LONG,-29,-0.054820415879,LONG,2006-02-27,911.1,876.14,0.313075895188,911.1,8111.07,-0.139366021694,-0.0471803126103,-0.0535946325795,0.0,2904.57,0.296121091898,0.517166934638,911.1,4837.8
8,8,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2006-02-28,28.02.2006,255691,CMX,1,255,1209,0,43,0,1171,1152,1171,1195,38,14,1209,0,43,0,1171,1152,1171,1195,38,14,0,0,0,0,0,0,0,0,0,0,-3.0,0.0,0.0,0.0,-2.0,-3.0,-2.0,-3.0,-1.0,0.0,100,0.0,3.6,0.0,96.9,95.3,96.9,98.8,3.1,1.2,100,0.0,3.6,0.0,96.9,95.3,96.9,98.8,3.1,1.2,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0,1,0,4,3,4,4,8,0,1,0,4,3,4,4,0,0,0,0,0,0,0,0,96.9,98.8,96.9,98.8,96.9,98.8,96.9,98.8,96.9,98.8,96.9,98.8,96.9,98.8,96.9,98.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(EUROTOP 100 INDEX X $100),-43,-1.0,LONG,19,0.00817907877744,SHORT,2006-03-06,-6746.61,959.81,0.0629994946564,959.81,9070.88,-0.0270463182744,0.00795786480963,0.00670229919586,0.0,2904.57,0.202829518771,0.482116624025,959.81,5797.61
9,9,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2006-03-07,07.03.2006,255691,CMX,1,255,2396,60,0,0,2164,2348,2224,2348,172,48,2396,60,0,0,2164,2348,2224,2348,172,48,0,0,0,0,0,0,0,0,0,0,-5.0,32.0,0.0,0.0,-39.0,0.0,-7.0,0.0,2.0,-5.0,100,2.5,0.0,0.0,90.3,98.0,92.8,98.0,7.2,2.0,100,2.5,0.0,0.0,90.3,98.0,92.8,98.0,7.2,2.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,2,0,0,8,3,10,3,12,2,0,0,8,3,10,3,0,0,0,0,0,0,0,0,84.3,98.0,90.6,98.0,84.0,97.7,90.4,97.7,84.3,98.0,90.6,98.0,84.0,97.7,90.4,97.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(EUROTOP 100 INDEX X $100),60,1.0,SHORT,-184,-0.040780141844,LONG,2006-03-13,877.9,805.79,-0.0489592206214,877.9,9948.78,0.0232389932084,-0.0417278312833,-0.0407296930821,0.0,2904.57,0.170372386172,0.471529415577,877.9,6675.51
