,Market_and_Exchange_Names,As_of_Date_In_Form_YYMMDD,Report_Date_as_MM_DD_YYYY,CFTC_Contract_Market_Code,CFTC_Market_Code,CFTC_Region_Code,CFTC_Commodity_Code,Open_Interest_All,Dealer_Positions_Long_All,Dealer_Positions_Short_All,Dealer_Positions_Spread_All,Asset_Mgr_Positions_Long_All,Asset_Mgr_Positions_Short_All,Asset_Mgr_Positions_Spread_All,Lev_Money_Positions_Long_All,Lev_Money_Positions_Short_All,Lev_Money_Positions_Spread_All,Other_Rept_Positions_Long_All,Other_Rept_Positions_Short_All,Other_Rept_Positions_Spread_All,Tot_Rept_Positions_Long_All,Tot_Rept_Positions_Short_All,NonRept_Positions_Long_All,NonRept_Positions_Short_All,Change_in_Open_Interest_All,Change_in_Dealer_Long_All,Change_in_Dealer_Short_All,Change_in_Dealer_Spread_All,Change_in_Asset_Mgr_Long_All,Change_in_Asset_Mgr_Short_All,Change_in_Asset_Mgr_Spread_All,Change_in_Lev_Money_Long_All,Change_in_Lev_Money_Short_All,Change_in_Lev_Money_Spread_All,Change_in_Other_Rept_Long_All,Change_in_Other_Rept_Short_All,Change_in_Other_Rept_Spread_All,Change_in_Tot_Rept_Long_All,Change_in_Tot_Rept_Short_All,Change_in_NonRept_Long_All,Change_in_NonRept_Short_All,Pct_of_Open_Interest_All,Pct_of_OI_Dealer_Long_All,Pct_of_OI_Dealer_Short_All,Pct_of_OI_Dealer_Spread_All,Pct_of_OI_Asset_Mgr_Long_All,Pct_of_OI_Asset_Mgr_Short_All,Pct_of_OI_Asset_Mgr_Spread_All,Pct_of_OI_Lev_Money_Long_All,Pct_of_OI_Lev_Money_Short_All,Pct_of_OI_Lev_Money_Spread_All,Pct_of_OI_Other_Rept_Long_All,Pct_of_OI_Other_Rept_Short_All,Pct_of_OI_Other_Rept_Spread_All,Pct_of_OI_Tot_Rept_Long_All,Pct_of_OI_Tot_Rept_Short_All,Pct_of_OI_NonRept_Long_All,Pct_of_OI_NonRept_Short_All,Traders_Tot_All,Traders_Dealer_Long_All,Traders_Dealer_Short_All,Traders_Dealer_Spread_All,Traders_Asset_Mgr_Long_All,Traders_Asset_Mgr_Short_All,Traders_Asset_Mgr_Spread_All,Traders_Lev_Money_Long_All,Traders_Lev_Money_Short_All,Traders_Lev_Money_Spread_All,Traders_Other_Rept_Long_All,Traders_Other_Rept_Short_All,Traders_Other_Rept_Spread_All,Traders_Tot_Rept_Long_All,Traders_Tot_Rept_Short_All,Conc_Gross_LE_4_TDR_Long_All,Conc_Gross_LE_4_TDR_Short_All,Conc_Gross_LE_8_TDR_Long_All,Conc_Gross_LE_8_TDR_Short_All,Conc_Net_LE_4_TDR_Long_All,Conc_Net_LE_4_TDR_Short_All,Conc_Net_LE_8_TDR_Long_All,Conc_Net_LE_8_TDR_Short_All,Contract_Units,CFTC_SubGroup_Code,FutOnly_or_Combined,Leverage_Money_Pos,Leverage_Money_Diff,Leverage_Money_Signal1,Dealer_Pos,Dealer_Diff,Dealer_Signal1,Asset_Mgr_Pos,Asset_Mgr_Diff,Asset_Mgr_Signal1
0,U.S. TREASURY BONDS - CHICAGO BOARD OF TRADE,2006-06-13,13.06.2006,020601,CBT,0,20,762787,87568,77936,32579,224873,198725,99276,147085,103720,23018,13149,56581,73,627621,591908,135166,170879,,,,,,,,,,,,,,,,,,100,11.5,10.2,4.3,29.5,26.1,13.0,19.3,13.6,3.0,1.7,7.4,0.0,82.3,77.6,17.7,22.4,189,13.0,26.0,16.0,27.0,20.0,28.0,32.0,40.0,15.0,11.0,20.0,,114.0,136.0,24.1,24.2,34.0,33.2,18.2,18.3,26.7,25.7,"(CONTRACTS OF $100,000 FACE VALUE)",F30,FutOnly,43365,0.17290325153,SHORT,9632,0.0581979891725,SHORT,26148,0.0617283367721,LONG
1,U.S. TREASURY BONDS - CHICAGO BOARD OF TRADE,2006-06-20,20.06.2006,020601,CBT,0,20,747700,111328,58973,29632,231961,197426,97918,134618,111075,10343,15689,45710,401,631890,551478,115810,196222,-15087.0,23760.0,-18963.0,-2947.0,7088.0,-1299.0,-1358.0,-12467.0,7355.0,-12675.0,2540.0,-10871.0,328.0,4269.0,-40430.0,-19356.0,25343.0,100,14.9,7.9,4.0,31.0,26.4,13.1,18.0,14.9,1.4,2.1,6.1,0.1,84.5,73.8,15.5,26.2,180,18.0,19.0,11.0,27.0,20.0,28.0,34.0,36.0,15.0,8.0,18.0,,116.0,121.0,24.6,24.5,33.7,33.2,18.3,18.3,26.4,25.4,"(CONTRACTS OF $100,000 FACE VALUE)",F30,FutOnly,23543,0.0958228358154,SHORT,52355,0.307426262911,SHORT,34535,0.0804286110199,LONG
2,U.S. TREASURY BONDS - CHICAGO BOARD OF TRADE,2006-06-27,27.06.2006,020601,CBT,0,20,765619,133795,62021,22084,237431,198631,98067,125196,130793,11073,17781,51407,583,646010,574659,119609,190960,17919.0,22467.0,3048.0,-7548.0,5470.0,1205.0,149.0,-9422.0,19718.0,730.0,2092.0,5697.0,182.0,14120.0,23181.0,3799.0,-5262.0,100,17.5,8.1,2.9,31.0,25.9,12.8,16.4,17.1,1.4,2.3,6.7,0.1,84.4,75.1,15.6,24.9,181,18.0,14.0,9.0,27.0,20.0,28.0,36.0,40.0,21.0,7.0,19.0,4.0,116.0,127.0,24.7,25.6,33.5,34.3,19.8,20.1,27.4,27.6,"(CONTRACTS OF $100,000 FACE VALUE)",F30,FutOnly,-5597,-0.0218642207282,LONG,71774,0.366537974425,SHORT,38800,0.0889781728286,LONG
3,U.S. TREASURY BONDS - CHICAGO BOARD OF TRADE,2006-07-03,03.07.2006,020601,CBT,0,20,743619,102220,66983,23664,249466,200594,101107,116813,110063,10055,25481,46033,262,629068,558761,114551,184858,-22000.0,-31575.0,4962.0,1580.0,12035.0,1963.0,3040.0,-8383.0,-20730.0,-1018.0,7700.0,-5374.0,-321.0,-16942.0,-15898.0,-5058.0,-6102.0,100,13.7,9.0,3.2,33.5,27.0,13.6,15.7,14.8,1.4,3.4,6.2,0.0,84.6,75.1,15.4,24.9,178,13.0,18.0,10.0,31.0,20.0,32.0,29.0,41.0,18.0,10.0,16.0,4.0,112.0,129.0,26.1,25.3,35.7,34.6,20.6,19.6,28.9,26.4,"(CONTRACTS OF $100,000 FACE VALUE)",F30,FutOnly,6750,0.0297519349777,SHORT,35237,0.208252808756,SHORT,48872,0.108589965782,LONG
4,U.S. TREASURY BONDS - CHICAGO BOARD OF TRADE,2006-07-11,11.07.2006,020601,CBT,0,20,753141,89521,94790,31398,257777,217614,94978,111782,93077,13151,25912,35503,266,624785,580777,128356,172364,9522.0,-12699.0,27807.0,7734.0,8311.0,17020.0,-6129.0,-5031.0,-16986.0,3096.0,431.0,-10530.0,4.0,-4283.0,22016.0,13805.0,-12494.0,100,11.9,12.6,4.2,34.2,28.9,12.6,14.8,12.4,1.7,3.4,4.7,0.0,83.0,77.1,17.0,22.9,190,11.0,29.0,12.0,30.0,22.0,30.0,31.0,40.0,16.0,10.0,17.0,4.0,111.0,140.0,27.1,25.4,36.6,34.0,21.3,19.0,28.9,24.7,"(CONTRACTS OF $100,000 FACE VALUE)",F30,FutOnly,18705,0.0913067036352,SHORT,-5269,-0.0285875503904,LONG,40163,0.0844841404234,LONG
5,U.S. TREASURY BONDS - CHICAGO BOARD OF TRADE,2006-07-18,18.07.2006,020601,CBT,0,20,751513,101920,64390,28538,261122,229345,89333,115288,103283,15315,25082,43012,797,637395,574013,114118,177500,-1628.0,12399.0,-30400.0,-2860.0,3345.0,11731.0,-5645.0,3506.0,10206.0,2164.0,-830.0,7509.0,531.0,12610.0,-6764.0,-14238.0,5136.0,100,13.6,8.6,3.8,34.7,30.5,11.9,15.3,13.7,2.0,3.3,5.7,0.1,84.8,76.4,15.2,23.6,192,14.0,23.0,10.0,30.0,22.0,30.0,31.0,43.0,23.0,10.0,19.0,5.0,120.0,140.0,27.3,25.4,37.2,34.5,22.5,19.7,30.9,26.4,"(CONTRACTS OF $100,000 FACE VALUE)",F30,FutOnly,12005,0.0549249442973,SHORT,37530,0.225662918646,SHORT,31777,0.064789272265,LONG
6,U.S. TREASURY BONDS - CHICAGO BOARD OF TRADE,2006-07-25,25.07.2006,020601,CBT,0,20,765362,88280,89409,29603,254519,241659,91797,126515,81269,20283,31424,40938,1384,643805,596342,121557,169020,13849.0,-13640.0,25019.0,1065.0,-6603.0,12314.0,2464.0,11227.0,-22014.0,4968.0,6342.0,-2074.0,587.0,6410.0,22329.0,7439.0,-8480.0,100,11.5,11.7,3.9,33.3,31.6,12.0,16.5,10.6,2.7,4.1,5.3,0.2,84.1,77.9,15.9,22.1,194,10.0,26.0,9.0,32.0,25.0,32.0,27.0,42.0,24.0,15.0,17.0,6.0,120.0,145.0,25.4,26.5,36.0,35.4,20.7,20.6,29.4,26.7,"(CONTRACTS OF $100,000 FACE VALUE)",F30,FutOnly,45246,0.217754976322,SHORT,-1129,-0.00635379792784,LONG,12860,0.0259181180947,LONG
7,U.S. TREASURY BONDS - CHICAGO BOARD OF TRADE,2006-08-01,01.08.2006,020601,CBT,0,20,774122,84152,82361,35320,249428,249260,92770,131579,82881,22777,28430,35255,2715,647171,603339,126951,170783,8760.0,-4128.0,-7048.0,5717.0,-5091.0,7601.0,973.0,5064.0,1612.0,2494.0,-2994.0,-5683.0,1331.0,3366.0,6997.0,5394.0,1763.0,100,10.9,10.6,4.6,32.2,32.2,12.0,17.0,10.7,2.9,3.7,4.6,0.4,83.6,77.9,16.4,22.1,194,12.0,25.0,10.0,32.0,25.0,32.0,30.0,40.0,30.0,14.0,16.0,6.0,126.0,146.0,25.0,27.3,35.7,36.0,20.0,21.3,29.2,27.1,"(CONTRACTS OF $100,000 FACE VALUE)",F30,FutOnly,48698,0.22707264758,SHORT,1791,0.0107559169554,SHORT,168,0.000336883983573,LONG
8,U.S. TREASURY BONDS - CHICAGO BOARD OF TRADE,2006-08-08,08.08.2006,020601,CBT,0,20,808424,92216,82006,37201,239901,271312,96193,139608,89712,31064,28633,29543,4567,669383,641598,139041,166826,34302.0,8064.0,-355.0,1881.0,-9527.0,22052.0,3423.0,8029.0,6831.0,8287.0,203.0,-5712.0,1852.0,22212.0,38259.0,12090.0,-3957.0,100,11.4,10.1,4.6,29.7,33.6,11.9,17.3,11.1,3.8,3.5,3.7,0.6,82.8,79.4,17.2,20.6,186,9.0,23.0,9.0,32.0,28.0,30.0,29.0,39.0,29.0,12.0,14.0,8.0,120.0,142.0,24.1,26.4,35.0,35.6,19.9,20.9,28.9,27.4,"(CONTRACTS OF $100,000 FACE VALUE)",F30,FutOnly,49896,0.217582417582,SHORT,10210,0.0586033910758,SHORT,-31411,-0.0614440556089,SHORT
9,U.S. TREASURY BONDS - CHICAGO BOARD OF TRADE,2006-08-15,15.08.2006,020601,CBT,0,20,816638,85058,93834,37900,248854,260656,98568,122028,90672,38815,25658,32103,3885,660766,656433,155872,160205,8214.0,-7158.0,11828.0,699.0,8953.0,-10656.0,2375.0,-17580.0,960.0,7751.0,-2975.0,2560.0,-682.0,-8617.0,14835.0,16831.0,-6621.0,100,10.4,11.5,4.6,30.5,31.9,12.1,14.9,11.1,4.8,3.1,3.9,0.5,80.9,80.4,19.1,19.6,194,9.0,28.0,10.0,33.0,26.0,32.0,27.0,43.0,34.0,10.0,18.0,8.0,127.0,151.0,24.3,25.2,33.5,34.3,19.4,19.2,27.1,25.0,"(CONTRACTS OF $100,000 FACE VALUE)",F30,FutOnly,31356,0.147418899859,SHORT,-8776,-0.0490575319187,LONG,-11802,-0.0231634315323,SHORT
