,Market_and_Exchange_Names,As_of_Date_In_Form_YYMMDD,Report_Date_as_MM_DD_YYYY,CFTC_Contract_Market_Code,CFTC_Market_Code,CFTC_Region_Code,CFTC_Commodity_Code,Open_Interest_All,NonComm_Positions_Long_All,NonComm_Positions_Short_All,NonComm_Postions_Spread_All,Comm_Positions_Long_All,Comm_Positions_Short_All,Tot_Rept_Positions_Long_All,Tot_Rept_Positions_Short_All,NonRept_Positions_Long_All,NonRept_Positions_Short_All,Open_Interest_Old,NonComm_Positions_Long_Old,NonComm_Positions_Short_Old,NonComm_Positions_Spread_Old,Comm_Positions_Long_Old,Comm_Positions_Short_Old,Tot_Rept_Positions_Long_Old,Tot_Rept_Positions_Short_Old,NonRept_Positions_Long_Old,NonRept_Positions_Short_Old,Open_Interest_Other,NonComm_Positions_Long_Other,NonComm_Positions_Short_Other,NonComm_Positions_Spread_Other,Comm_Positions_Long_Other,Comm_Positions_Short_Other,Tot_Rept_Positions_Long_Other,Tot_Rept_Positions_Short_Other,NonRept_Positions_Long_Other,NonRept_Positions_Short_Other,Change_in_Open_Interest_All,Change_in_NonComm_Long_All,Change_in_NonComm_Short_All,Change_in_NonComm_Spead_All,Change_in_Comm_Long_All,Change_in_Comm_Short_All,Change_in_Tot_Rept_Long_All,Change_in_Tot_Rept_Short_All,Change_in_NonRept_Long_All,Change_in_NonRept_Short_All,Pct_of_Open_Interest_All,Pct_of_OI_NonComm_Long_All,Pct_of_OI_NonComm_Short_All,Pct_of_OI_NonComm_Spread_All,Pct_of_OI_Comm_Long_All,Pct_of_OI_Comm_Short_All,Pct_of_OI_Tot_Rept_Long_All,Pct_of_OI_Tot_Rept_Short_All,Pct_of_OI_NonRept_Long_All,Pct_of_OI_NonRept_Short_All,Pct_of_Open_Interest_Old,Pct_of_OI_NonComm_Long_Old,Pct_of_OI_NonComm_Short_Old,Pct_of_OI_NonComm_Spread_Old,Pct_of_OI_Comm_Long_Old,Pct_of_OI_Comm_Short_Old,Pct_of_OI_Tot_Rept_Long_Old,Pct_of_OI_Tot_Rept_Short_Old,Pct_of_OI_NonRept_Long_Old,Pct_of_OI_NonRept_Short_Old,Pct_of_Open_Interest_Other,Pct_of_OI_NonComm_Long_Other,Pct_of_OI_NonComm_Short_Other,Pct_of_OI_NonComm_Spread_Other,Pct_of_OI_Comm_Long_Other,Pct_of_OI_Comm_Short_Other,Pct_of_OI_Tot_Rept_Long_Other,Pct_of_OI_Tot_Rept_Short_Other,Pct_of_OI_NonRept_Long_Other,Pct_of_OI_NonRept_Short_Other,Traders_Tot_All,Traders_NonComm_Long_All,Traders_NonComm_Short_All,Traders_NonComm_Spread_All,Traders_Comm_Long_All,Traders_Comm_Short_All,Traders_Tot_Rept_Long_All,Traders_Tot_Rept_Short_All,Traders_Tot_Old,Traders_NonComm_Long_Old,Traders_NonComm_Short_Old,Traders_NonComm_Spead_Old,Traders_Comm_Long_Old,Traders_Comm_Short_Old,Traders_Tot_Rept_Long_Old,Traders_Tot_Rept_Short_Old,Traders_Tot_Other,Traders_NonComm_Long_Other,Traders_NonComm_Short_Other,Traders_NonComm_Spread_Other,Traders_Comm_Long_Other,Traders_Comm_Short_Other,Traders_Tot_Rept_Long_Other,Traders_Tot_Rept_Short_Other,Conc_Gross_LE_4_TDR_Long_All,Conc_Gross_LE_4_TDR_Short_All,Conc_Gross_LE_8_TDR_Long_All,Conc_Gross_LE_8_TDR_Short_All,Conc_Net_LE_4_TDR_Long_All,Conc_Net_LE_4_TDR_Short_All,Conc_Net_LE_8_TDR_Long_All,Conc_Net_LE_8_TDR_Short_All,Conc_Gross_LE_4_TDR_Long_Old,Conc_Gross_LE_4_TDR_Short_Old,Conc_Gross_LE_8_TDR_Long_Old,Conc_Gross_LE_8_TDR_Short_Old,Conc_Net_LE_4_TDR_Long_Old,Conc_Net_LE_4_TDR_Short_Old,Conc_Net_LE_8_TDR_Long_Old,Conc_Net_LE_8_TDR_Short_Old,Conc_Gross_LE_4_TDR_Long_Other,Conc_Gross_LE_4_TDR_Short_Other,Conc_Gross_LE_8_TDR_Long_Other,Conc_Gross_LE_8_TDR_Short_Other,Conc_Net_LE_4_TDR_Long_Other,Conc_Net_LE_4_TDR_Short_Other,Conc_Net_LE_8_TDR_Long_Other,Conc_Net_LE_8_TDR_Short_Other,Contract_Units,NonComm_Pos,NonComm_Diff,NonComm_Signal1,Comm_Pos,Comm_Diff,Comm_Signal1
0,RUSSIAN RUBLE - CHICAGO MERCANTILE EXCHANGE,2009-02-10,10.02.2009,02339U,IFED,1,23,82373,0,8568,4723,67472,60327,72195,73618,10178,8755,82373,0,8568,4723,67472,60327,72195,73618,10178,8755,0,0,0,0,0,0,0,0,0,0,1375.0,0.0,381.0,160.0,1910.0,834.0,2070.0,1375.0,-695.0,0.0,100,0.0,10.4,5.7,81.9,73.2,87.6,89.4,12.4,10.6,100,0.0,10.4,5.7,81.9,73.2,87.6,89.4,12.4,10.6,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,0,2,2,19,17,21,19,24,0,2,2,19,17,21,19,0,0,0,0,0,0,0,0,54.6,40.5,74.3,63.3,51.7,35.8,64.1,54.0,54.6,40.5,74.3,63.3,51.7,35.8,64.1,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2500 mmbtu,-8568,-1.0,LONG,7145,0.0559081056972,SHORT
1,RUSSIAN RUBLE - CHICAGO MERCANTILE EXCHANGE,2009-02-17,17.02.2009,02339W,IFED,1,23,155347,3490,2754,2100,139699,143175,145289,148029,10058,7318,155347,3490,2754,2100,139699,143175,145289,148029,10058,7318,0,0,0,0,0,0,0,0,0,0,1383.0,1224.0,0.0,-511.0,670.0,1863.0,1383.0,1352.0,0.0,31.0,100,2.2,1.8,1.4,89.9,92.2,93.5,95.3,6.5,4.7,100,2.2,1.8,1.4,89.9,92.2,93.5,95.3,6.5,4.7,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34,1,1,1,22,24,23,26,34,1,1,1,22,24,23,26,0,0,0,0,0,0,0,0,45.5,50.5,66.6,73.5,43.6,49.9,62.7,72.0,45.5,50.5,66.6,73.5,43.6,49.9,62.7,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2500 mm btu,736,0.117873158232,SHORT,-3476,-0.0122881565644,LONG
2,RUSSIAN RUBLE - CHICAGO MERCANTILE EXCHANGE,2009-02-24,24.02.2009,0233A3,IFED,1,23,284933,118,1472,424,276885,277242,277427,279138,7506,5795,284933,118,1472,424,276885,277242,277427,279138,7506,5795,0,0,0,0,0,0,0,0,0,0,1666.0,-826.0,0.0,240.0,2867.0,1981.0,2281.0,2221.0,-615.0,-555.0,100,0.0,0.5,0.1,97.2,97.3,97.4,98.0,2.6,2.0,100,0.0,0.5,0.1,97.2,97.3,97.4,98.0,2.6,2.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58,1,1,1,47,41,48,43,58,1,1,1,47,41,48,43,0,0,0,0,0,0,0,0,35.9,55.9,51.0,74.8,30.0,54.5,45.1,67.5,35.9,55.9,51.0,74.8,30.0,54.5,45.1,67.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2500 mmbtu,-1354,-0.851572327044,LONG,-357,-0.000644256641528,LONG
3,RUSSIAN RUBLE - CHICAGO MERCANTILE EXCHANGE,2009-03-03,03.03.2009,0233A5,IFED,1,23,85304,5358,10711,2406,74787,60748,82551,73865,2753,11439,85304,5358,10711,2406,74787,60748,82551,73865,2753,11439,0,0,0,0,0,0,0,0,0,0,-239.0,2349.0,-640.0,53.0,-1894.0,951.0,508.0,364.0,-747.0,-603.0,100,6.3,12.6,2.8,87.7,71.2,96.8,86.6,3.2,13.4,100,6.3,12.6,2.8,87.7,71.2,96.8,86.6,3.2,13.4,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32,3,3,2,23,21,27,25,32,3,3,2,23,21,27,25,0,0,0,0,0,0,0,0,55.2,37.0,75.5,59.3,41.1,28.5,55.1,47.1,55.2,37.0,75.5,59.3,41.1,28.5,55.1,47.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2500 mmbtu,-5353,-0.33312589458,LONG,14039,0.103582100564,SHORT
4,RUSSIAN RUBLE - CHICAGO MERCANTILE EXCHANGE,2009-03-10,10.03.2009,0233A8,IFED,1,23,65453,2070,1872,2756,51370,50128,56196,54756,9257,10697,65453,2070,1872,2756,51370,50128,56196,54756,9257,10697,0,0,0,0,0,0,0,0,0,0,-239.0,2349.0,-640.0,53.0,-1894.0,951.0,508.0,364.0,-747.0,-603.0,100,3.2,2.9,4.2,78.5,76.6,85.9,83.7,14.1,16.3,100,3.2,2.9,4.2,78.5,76.6,85.9,83.7,14.1,16.3,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,1,3,3,12,14,16,17,23,1,3,3,12,14,16,17,0,0,0,0,0,0,0,0,66.5,62.7,78.8,74.5,66.3,61.5,76.1,70.5,66.5,62.7,78.8,74.5,66.3,61.5,76.1,70.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2500 mmbtu,198,0.0502283105023,SHORT,1242,0.0122366943191,SHORT
5,RUSSIAN RUBLE - CHICAGO MERCANTILE EXCHANGE,2009-03-31,31.03.2009,0233AW,IFED,1,23,16628,4183,710,401,8776,14360,13360,15471,3268,1157,16628,4183,710,401,8776,14360,13360,15471,3268,1157,0,0,0,0,0,0,0,0,0,0,465.0,0.0,-155.0,155.0,248.0,465.0,403.0,465.0,62.0,0.0,100,25.2,4.3,2.4,52.8,86.4,80.3,93.0,19.7,7.0,100,25.2,4.3,2.4,52.8,86.4,80.3,93.0,19.7,7.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,2,1,3,13,11,16,14,23,2,1,3,13,11,16,14,0,0,0,0,0,0,0,0,54.3,57.4,67.1,81.7,52.5,53.8,61.4,71.6,54.3,57.4,67.1,81.7,52.5,53.8,61.4,71.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mmbtu,3473,0.709789495197,SHORT,-5584,-0.241355463347,LONG
6,RUSSIAN RUBLE - CHICAGO MERCANTILE EXCHANGE,2009-04-07,07.04.2009,0233B1,IFED,1,23,103308,0,4952,1654,93270,86122,94924,92728,8384,10580,103308,0,4952,1654,93270,86122,94924,92728,8384,10580,0,0,0,0,0,0,0,0,0,0,2346.0,0.0,1821.0,7.0,2246.0,766.0,2253.0,2594.0,93.0,-248.0,100,0.0,4.8,1.6,90.3,83.4,91.9,89.8,8.1,10.2,100,0.0,4.8,1.6,90.3,83.4,91.9,89.8,8.1,10.2,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,0,2,1,19,19,20,21,27,0,2,1,19,19,20,21,0,0,0,0,0,0,0,0,54.0,45.8,73.1,69.1,45.8,44.8,57.9,54.3,54.0,45.8,73.1,69.1,45.8,44.8,57.9,54.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2500 mmbtu,-4952,-1.0,LONG,7148,0.0398457010346,SHORT
7,RUSSIAN RUBLE - CHICAGO MERCANTILE EXCHANGE,2009-04-14,14.04.2009,0233BB,IFED,1,23,92454,2199,0,327,83688,83664,86214,83991,6240,8463,92454,2199,0,327,83688,83664,86214,83991,6240,8463,0,0,0,0,0,0,0,0,0,0,2942.0,-306.0,0.0,0.0,3936.0,3641.0,3630.0,3641.0,-688.0,-699.0,100,2.4,0.0,0.4,90.5,90.5,93.3,90.8,6.7,9.2,100,2.4,0.0,0.4,90.5,90.5,93.3,90.8,6.7,9.2,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,1,0,1,16,17,17,18,26,1,0,1,16,17,17,18,0,0,0,0,0,0,0,0,61.0,56.4,84.8,76.0,59.0,53.8,81.7,71.4,61.0,56.4,84.8,76.0,59.0,53.8,81.7,71.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2500 mmbtu,2199,1.0,SHORT,24,0.000143410296859,SHORT
8,RUSSIAN RUBLE - CHICAGO MERCANTILE EXCHANGE,2009-04-21,21.04.2009,0233BH,IFED,1,23,118254,372,21863,912,112255,94066,113539,116841,4715,1413,118254,372,21863,912,112255,94066,113539,116841,4715,1413,0,0,0,0,0,0,0,0,0,0,-4779.0,0.0,1388.0,-791.0,-3928.0,-5281.0,-4719.0,-4684.0,-60.0,-95.0,100,0.3,18.5,0.8,94.9,79.5,96.0,98.8,4.0,1.2,100,0.3,18.5,0.8,94.9,79.5,96.0,98.8,4.0,1.2,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,1,3,1,18,19,20,22,27,1,3,1,18,19,20,22,0,0,0,0,0,0,0,0,67.7,73.3,84.0,83.9,63.1,72.4,78.3,80.4,67.7,73.3,84.0,83.9,63.1,72.4,78.3,80.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2500 mmbtu,-21491,-0.966539239937,LONG,18189,0.0881587429297,SHORT
9,RUSSIAN RUBLE - CHICAGO MERCANTILE EXCHANGE,2009-04-28,28.04.2009,0233BL,IFED,1,23,300947,2546,8078,9554,277124,274628,289224,292260,11723,8687,300947,2546,8078,9554,277124,274628,289224,292260,11723,8687,0,0,0,0,0,0,0,0,0,0,-1309.0,-3227.0,485.0,1340.0,638.0,-4295.0,-1249.0,-2470.0,-60.0,1161.0,100,0.8,2.7,3.2,92.1,91.3,96.1,97.1,3.9,2.9,100,0.8,2.7,3.2,92.1,91.3,96.1,97.1,3.9,2.9,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44,2,3,4,29,27,33,32,44,2,3,4,29,27,33,32,0,0,0,0,0,0,0,0,53.5,50.8,70.2,72.2,52.3,44.7,63.7,62.9,53.5,50.8,70.2,72.2,52.3,44.7,63.7,62.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2500 mmbtu,-5532,-0.520707831325,LONG,2496,0.00452377154954,SHORT
