,Market_and_Exchange_Names,As_of_Date_In_Form_YYMMDD,Report_Date_as_MM_DD_YYYY,CFTC_Contract_Market_Code,CFTC_Market_Code,CFTC_Region_Code,CFTC_Commodity_Code,Open_Interest_All,NonComm_Positions_Long_All,NonComm_Positions_Short_All,NonComm_Postions_Spread_All,Comm_Positions_Long_All,Comm_Positions_Short_All,Tot_Rept_Positions_Long_All,Tot_Rept_Positions_Short_All,NonRept_Positions_Long_All,NonRept_Positions_Short_All,Open_Interest_Old,NonComm_Positions_Long_Old,NonComm_Positions_Short_Old,NonComm_Positions_Spread_Old,Comm_Positions_Long_Old,Comm_Positions_Short_Old,Tot_Rept_Positions_Long_Old,Tot_Rept_Positions_Short_Old,NonRept_Positions_Long_Old,NonRept_Positions_Short_Old,Open_Interest_Other,NonComm_Positions_Long_Other,NonComm_Positions_Short_Other,NonComm_Positions_Spread_Other,Comm_Positions_Long_Other,Comm_Positions_Short_Other,Tot_Rept_Positions_Long_Other,Tot_Rept_Positions_Short_Other,NonRept_Positions_Long_Other,NonRept_Positions_Short_Other,Change_in_Open_Interest_All,Change_in_NonComm_Long_All,Change_in_NonComm_Short_All,Change_in_NonComm_Spead_All,Change_in_Comm_Long_All,Change_in_Comm_Short_All,Change_in_Tot_Rept_Long_All,Change_in_Tot_Rept_Short_All,Change_in_NonRept_Long_All,Change_in_NonRept_Short_All,Pct_of_Open_Interest_All,Pct_of_OI_NonComm_Long_All,Pct_of_OI_NonComm_Short_All,Pct_of_OI_NonComm_Spread_All,Pct_of_OI_Comm_Long_All,Pct_of_OI_Comm_Short_All,Pct_of_OI_Tot_Rept_Long_All,Pct_of_OI_Tot_Rept_Short_All,Pct_of_OI_NonRept_Long_All,Pct_of_OI_NonRept_Short_All,Pct_of_Open_Interest_Old,Pct_of_OI_NonComm_Long_Old,Pct_of_OI_NonComm_Short_Old,Pct_of_OI_NonComm_Spread_Old,Pct_of_OI_Comm_Long_Old,Pct_of_OI_Comm_Short_Old,Pct_of_OI_Tot_Rept_Long_Old,Pct_of_OI_Tot_Rept_Short_Old,Pct_of_OI_NonRept_Long_Old,Pct_of_OI_NonRept_Short_Old,Pct_of_Open_Interest_Other,Pct_of_OI_NonComm_Long_Other,Pct_of_OI_NonComm_Short_Other,Pct_of_OI_NonComm_Spread_Other,Pct_of_OI_Comm_Long_Other,Pct_of_OI_Comm_Short_Other,Pct_of_OI_Tot_Rept_Long_Other,Pct_of_OI_Tot_Rept_Short_Other,Pct_of_OI_NonRept_Long_Other,Pct_of_OI_NonRept_Short_Other,Traders_Tot_All,Traders_NonComm_Long_All,Traders_NonComm_Short_All,Traders_NonComm_Spread_All,Traders_Comm_Long_All,Traders_Comm_Short_All,Traders_Tot_Rept_Long_All,Traders_Tot_Rept_Short_All,Traders_Tot_Old,Traders_NonComm_Long_Old,Traders_NonComm_Short_Old,Traders_NonComm_Spead_Old,Traders_Comm_Long_Old,Traders_Comm_Short_Old,Traders_Tot_Rept_Long_Old,Traders_Tot_Rept_Short_Old,Traders_Tot_Other,Traders_NonComm_Long_Other,Traders_NonComm_Short_Other,Traders_NonComm_Spread_Other,Traders_Comm_Long_Other,Traders_Comm_Short_Other,Traders_Tot_Rept_Long_Other,Traders_Tot_Rept_Short_Other,Conc_Gross_LE_4_TDR_Long_All,Conc_Gross_LE_4_TDR_Short_All,Conc_Gross_LE_8_TDR_Long_All,Conc_Gross_LE_8_TDR_Short_All,Conc_Net_LE_4_TDR_Long_All,Conc_Net_LE_4_TDR_Short_All,Conc_Net_LE_8_TDR_Long_All,Conc_Net_LE_8_TDR_Short_All,Conc_Gross_LE_4_TDR_Long_Old,Conc_Gross_LE_4_TDR_Short_Old,Conc_Gross_LE_8_TDR_Long_Old,Conc_Gross_LE_8_TDR_Short_Old,Conc_Net_LE_4_TDR_Long_Old,Conc_Net_LE_4_TDR_Short_Old,Conc_Net_LE_8_TDR_Long_Old,Conc_Net_LE_8_TDR_Short_Old,Conc_Gross_LE_4_TDR_Long_Other,Conc_Gross_LE_4_TDR_Short_Other,Conc_Gross_LE_8_TDR_Long_Other,Conc_Gross_LE_8_TDR_Short_Other,Conc_Net_LE_4_TDR_Long_Other,Conc_Net_LE_4_TDR_Short_Other,Conc_Net_LE_8_TDR_Long_Other,Conc_Net_LE_8_TDR_Short_Other,Contract_Units,NonComm_Pos,NonComm_Diff,NonComm_Signal1,Comm_Pos,Comm_Diff,Comm_Signal1
0,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2006-01-03,03.01.2006,240743,CME,0,240,34882,15239,2973,160,12865,9458,28264,12591,6618,22291,34882,15239,2973,160,12865,9458,28264,12591,6618,22291,0,0,0,0,0,0,0,0,0,0,-3930.0,-1290.0,-374.0,61.0,-2857.0,-398.0,-4086.0,-711.0,156.0,-3219.0,100,43.7,8.5,0.5,36.9,27.1,81.0,36.1,19.0,63.9,100,43.7,8.5,0.5,36.9,27.1,81.0,36.1,19.0,63.9,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42,13,4,1,17,9,30,14,42,13,4,1,17,9,30,14,0,0,0,0,0,0,0,0,37.4,24.4,50.0,30.9,33.7,19.0,45.8,24.6,37.4,24.4,50.0,30.9,33.7,19.0,45.8,24.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(NIKKEI INDEX X 500 YEN),12266,0.67351197013,SHORT,3407,0.152622855351,SHORT
1,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2006-01-10,10.01.2006,246602,CBT,0,246,45576,3094,15323,393,42001,29664,45488,45380,88,196,45576,3094,15323,393,42001,29664,45488,45380,88,196,0,0,0,0,0,0,0,0,0,0,-760.0,-38.0,514.0,0.0,864.0,280.0,826.0,794.0,-1586.0,-1554.0,100,6.8,33.6,0.9,92.2,65.1,99.8,99.6,0.2,0.4,100,6.8,33.6,0.9,92.2,65.1,99.8,99.6,0.2,0.4,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39,9,11,2,11,13,21,25,39,9,11,2,11,13,21,25,0,0,0,0,0,0,0,0,78.5,86.6,92.5,94.2,75.9,78.9,87.0,86.4,78.5,86.6,92.5,94.2,75.9,78.9,87.0,86.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF $100,000 NOTIONAL PRINCIPAL)",-12229,-0.664006081338,LONG,12337,0.172148189493,SHORT
2,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2006-01-17,17.01.2006,246602,CBT,0,246,35527,3962,5821,1046,29684,27247,34692,34114,835,1413,35527,3962,5821,1046,29684,27247,34692,34114,835,1413,0,0,0,0,0,0,0,0,0,0,368.0,1025.0,167.0,0.0,-701.0,774.0,324.0,941.0,44.0,-573.0,100,11.2,16.4,2.9,83.6,76.7,97.6,96.0,2.4,4.0,100,11.2,16.4,2.9,83.6,76.7,97.6,96.0,2.4,4.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63,7,22,4,20,21,30,44,63,7,22,4,20,21,30,44,0,0,0,0,0,0,0,0,55.5,43.8,71.6,64.5,55.4,40.2,71.5,60.3,55.5,43.8,71.6,64.5,55.4,40.2,71.5,60.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF $100,000 NOTIONAL PRINCIPAL)",-1859,-0.190023510171,LONG,2437,0.0428062040013,SHORT
3,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2006-01-24,24.01.2006,246602,CBT,0,246,55179,600,1587,0,54347,52775,54947,54362,232,817,55179,600,1587,0,54347,52775,54947,54362,232,817,0,0,0,0,0,0,0,0,0,0,1398.0,500.0,-290.0,0.0,912.0,1879.0,1412.0,1589.0,-14.0,-191.0,100,1.1,2.9,0.0,98.5,95.6,99.6,98.5,0.4,1.5,100,1.1,2.9,0.0,98.5,95.6,99.6,98.5,0.4,1.5,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43,3,6,0,17,22,20,28,43,3,6,0,17,22,20,28,0,0,0,0,0,0,0,0,75.2,71.7,90.7,85.1,75.2,71.0,90.3,83.0,75.2,71.7,90.7,85.1,75.2,71.0,90.3,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF $100,000 NOTIONAL PRINCIPAL)",-987,-0.451303155007,LONG,1572,0.0146748567054,SHORT
4,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2006-01-31,31.01.2006,247601,CBT,0,246,623,50,30,0,568,588,618,618,5,5,623,50,30,0,568,588,618,618,5,5,0,0,0,0,0,0,0,0,0,0,30.0,50.0,30.0,0.0,25.0,0.0,75.0,30.0,-45.0,0.0,100,8.0,4.8,0.0,91.2,94.4,99.2,99.2,0.8,0.8,100,8.0,4.8,0.0,91.2,94.4,99.2,99.2,0.8,0.8,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,1,1,0,4,2,5,3,8,1,1,0,4,2,5,3,0,0,0,0,0,0,0,0,91.2,99.2,99.2,99.2,91.2,99.2,99.2,99.2,91.2,99.2,99.2,99.2,91.2,99.2,99.2,99.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(NOTIONAL VALUE OF $25,000,000)",20,0.25,SHORT,-20,-0.0173010380623,LONG
5,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2006-02-07,07.02.2006,249601,CBT,0,249,1925,1761,150,0,0,1000,1761,1150,164,775,1925,1761,150,0,0,1000,1761,1150,164,775,0,0,0,0,0,0,0,0,0,0,30.0,50.0,30.0,0.0,25.0,0.0,75.0,30.0,-45.0,0.0,100,91.5,7.8,0.0,0.0,51.9,91.5,59.7,8.5,40.3,100,91.5,7.8,0.0,0.0,51.9,91.5,59.7,8.5,40.3,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,4,1,0,0,1,4,2,6,4,1,0,0,1,4,2,0,0,0,0,0,0,0,0,91.5,59.7,91.5,59.7,91.5,59.7,91.5,59.7,91.5,59.7,91.5,59.7,91.5,59.7,91.5,59.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF 100,000 CANADIAN DOLLARS)",1611,0.843014128728,SHORT,-1000,-1.0,LONG
6,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2006-02-14,14.02.2006,251601,CBT,0,251,1086,285,236,31,297,626,613,893,473,193,1086,285,236,31,297,626,613,893,473,193,0,0,0,0,0,0,0,0,0,0,-17.0,3.0,27.0,3.0,35.0,1.0,41.0,31.0,-58.0,-48.0,100,26.2,21.7,2.9,27.3,57.6,56.4,82.2,43.6,17.8,100,26.2,21.7,2.9,27.3,57.6,56.4,82.2,43.6,17.8,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,6,3,1,8,6,15,9,22,6,3,1,8,6,15,9,0,0,0,0,0,0,0,0,20.7,63.5,36.4,79.5,20.7,63.5,36.4,76.6,20.7,63.5,36.4,79.5,20.7,63.5,36.4,76.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TONS),49,0.0940499040307,SHORT,-329,-0.356446370531,LONG
7,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2006-02-21,21.02.2006,252691,CMX,1,252,870,1,40,719,0,0,720,759,150,111,331,220,275,0,0,0,220,275,111,56,539,276,260,224,0,0,500,484,39,55,-17.0,3.0,27.0,3.0,35.0,1.0,41.0,31.0,-58.0,-48.0,100,0.1,4.6,82.6,0.0,0.0,82.8,87.2,17.2,12.8,100,66.5,83.1,0.0,0.0,0.0,66.5,83.1,33.5,16.9,100,51.2,48.2,41.6,0.0,0.0,92.8,89.8,7.2,10.2,8,1,1,7,0,0,7,8,7,4,3,0,0,0,4,3,8,3,5,3,0,0,5,6,63.2,63.1,82.8,87.2,0.1,4.6,0.1,4.6,66.5,83.1,66.5,83.1,66.5,83.1,66.5,83.1,83.5,73.1,92.8,89.8,51.2,40.8,51.2,48.2,(500 TIMES THE INDEX),-39,-0.951219512195,LONG,0,-0.356446370531,LONG
8,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2006-02-28,28.02.2006,255691,CMX,1,255,1207,0,43,0,1170,1151,1170,1194,37,13,1207,0,43,0,1170,1151,1170,1194,37,13,0,0,0,0,0,0,0,0,0,0,3.0,0.0,-1.0,0.0,3.0,3.0,3.0,2.0,0.0,1.0,100,0.0,3.6,0.0,96.9,95.4,96.9,98.9,3.1,1.1,100,0.0,3.6,0.0,96.9,95.4,96.9,98.9,3.1,1.1,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0,1,0,4,3,4,4,8,0,1,0,4,3,4,4,0,0,0,0,0,0,0,0,96.9,98.9,96.9,98.9,96.9,98.9,96.9,98.9,96.9,98.9,96.9,98.9,96.9,98.9,96.9,98.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(EUROTOP 100 INDEX X $100),-43,-1.0,LONG,19,0.00818612666954,SHORT
9,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2006-03-07,07.03.2006,255691,CMX,1,255,2373,28,0,0,2150,2308,2178,2308,195,65,2373,28,0,0,2150,2308,2178,2308,195,65,0,0,0,0,0,0,0,0,0,0,-4.0,28.0,0.0,0.0,-19.0,-9.0,9.0,-9.0,-13.0,5.0,100,1.2,0.0,0.0,90.6,97.3,91.8,97.3,8.2,2.7,100,1.2,0.0,0.0,90.6,97.3,91.8,97.3,8.2,2.7,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,1,0,0,6,1,7,1,8,1,0,0,6,1,7,1,0,0,0,0,0,0,0,0,86.9,97.3,91.8,97.3,86.9,97.3,91.8,97.3,86.9,97.3,91.8,97.3,86.9,97.3,91.8,97.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(EUROTOP 100 INDEX X $100),28,1.0,SHORT,-158,-0.0354419021983,LONG
