,Unnamed: 0,Market_and_Exchange_Names,As_of_Date_In_Form_YYMMDD,Report_Date_as_MM_DD_YYYY,CFTC_Contract_Market_Code,CFTC_Market_Code,CFTC_Region_Code,CFTC_Commodity_Code,Open_Interest_All,Dealer_Positions_Long_All,Dealer_Positions_Short_All,Dealer_Positions_Spread_All,Asset_Mgr_Positions_Long_All,Asset_Mgr_Positions_Short_All,Asset_Mgr_Positions_Spread_All,Lev_Money_Positions_Long_All,Lev_Money_Positions_Short_All,Lev_Money_Positions_Spread_All,Other_Rept_Positions_Long_All,Other_Rept_Positions_Short_All,Other_Rept_Positions_Spread_All,Tot_Rept_Positions_Long_All,Tot_Rept_Positions_Short_All,NonRept_Positions_Long_All,NonRept_Positions_Short_All,Change_in_Open_Interest_All,Change_in_Dealer_Long_All,Change_in_Dealer_Short_All,Change_in_Dealer_Spread_All,Change_in_Asset_Mgr_Long_All,Change_in_Asset_Mgr_Short_All,Change_in_Asset_Mgr_Spread_All,Change_in_Lev_Money_Long_All,Change_in_Lev_Money_Short_All,Change_in_Lev_Money_Spread_All,Change_in_Other_Rept_Long_All,Change_in_Other_Rept_Short_All,Change_in_Other_Rept_Spread_All,Change_in_Tot_Rept_Long_All,Change_in_Tot_Rept_Short_All,Change_in_NonRept_Long_All,Change_in_NonRept_Short_All,Pct_of_Open_Interest_All,Pct_of_OI_Dealer_Long_All,Pct_of_OI_Dealer_Short_All,Pct_of_OI_Dealer_Spread_All,Pct_of_OI_Asset_Mgr_Long_All,Pct_of_OI_Asset_Mgr_Short_All,Pct_of_OI_Asset_Mgr_Spread_All,Pct_of_OI_Lev_Money_Long_All,Pct_of_OI_Lev_Money_Short_All,Pct_of_OI_Lev_Money_Spread_All,Pct_of_OI_Other_Rept_Long_All,Pct_of_OI_Other_Rept_Short_All,Pct_of_OI_Other_Rept_Spread_All,Pct_of_OI_Tot_Rept_Long_All,Pct_of_OI_Tot_Rept_Short_All,Pct_of_OI_NonRept_Long_All,Pct_of_OI_NonRept_Short_All,Traders_Tot_All,Traders_Dealer_Long_All,Traders_Dealer_Short_All,Traders_Dealer_Spread_All,Traders_Asset_Mgr_Long_All,Traders_Asset_Mgr_Short_All,Traders_Asset_Mgr_Spread_All,Traders_Lev_Money_Long_All,Traders_Lev_Money_Short_All,Traders_Lev_Money_Spread_All,Traders_Other_Rept_Long_All,Traders_Other_Rept_Short_All,Traders_Other_Rept_Spread_All,Traders_Tot_Rept_Long_All,Traders_Tot_Rept_Short_All,Conc_Gross_LE_4_TDR_Long_All,Conc_Gross_LE_4_TDR_Short_All,Conc_Gross_LE_8_TDR_Long_All,Conc_Gross_LE_8_TDR_Short_All,Conc_Net_LE_4_TDR_Long_All,Conc_Net_LE_4_TDR_Short_All,Conc_Net_LE_8_TDR_Long_All,Conc_Net_LE_8_TDR_Short_All,Contract_Units,CFTC_SubGroup_Code,FutOnly_or_Combined,Leverage_Money_Diff,Leverage_Money_Signal1,Dealer_Diff,Dealer_Signal1,Asset_Mgr_Diff,Asset_Mgr_Signal1,Trade_Date,CALL_EURUSD,PUT_EURUSD,Returns,Basic_PL,Total_Basic_PL,AR_Forecast_Returns,AR_Forecast_Diff,AR_Comb_Forecast,AR_Comb_PL,Total_AR_Comb_PL,Forecast_Volatility,hvol21,GARCH_PL,Total_GARCH__PL
10,10,EURO FX - CHICAGO MERCANTILE EXCHANGE,2006-08-22,22.08.2006,99741,CME,0,99,175943,11753,116692,7855,17037,11437,3811,68246,6883,646,8667,1077,0,118015,148401,57928,27542,-2818.0,-1239.0,-6316.0,976.0,-3234.0,-6.0,361.0,-4905.0,307.0,452.0,450.0,-52.0,0.0,-7139.0,-4278.0,4321.0,1460.0,100,6.7,66.3,4.5,9.7,6.5,2.2,38.8,3.9,0.4,4.9,0.6,0.0,67.1,84.3,32.9,15.7,121,13.0,23.0,9.0,9.0,7.0,9.0,40.0,17.0,10.0,11.0,,0.0,90.0,59.0,21.2,49.3,28.7,64.7,21.1,48.2,27.3,61.2,"(CONTRACTS OF EUR 125,000)",F10,FutOnly,0.816768491528,SHORT,-0.81699560123,LONG,0.196670646906,LONG,2006-08-28,1248.41,1210.63,-0.081692221228,1210.63,-59.27,-0.0157362066927,0.193575796956,0.266492678169,1210.63,4115.99,0.0587111668753,0.23178302982,1210.63,2925.94
11,11,EURO FX - CHICAGO MERCANTILE EXCHANGE,2006-08-29,29.08.2006,99741,CME,0,99,170168,13992,107769,8448,17396,10347,3707,63077,7535,1083,7470,1113,27,115200,140029,54968,30139,-5775.0,2239.0,-8923.0,593.0,359.0,-1090.0,-104.0,-5169.0,652.0,437.0,-1197.0,36.0,27.0,-2815.0,-8372.0,-2960.0,2597.0,100,8.2,63.3,5.0,10.2,6.1,2.2,37.1,4.4,0.6,4.4,0.7,0.0,67.7,82.3,32.3,17.7,119,14.0,21.0,6.0,9.0,7.0,8.0,40.0,15.0,9.0,11.0,,,83.0,60.0,22.1,47.1,29.4,62.7,22.0,46.0,27.8,58.8,"(CONTRACTS OF EUR 125,000)",F10,FutOnly,0.786580184671,SHORT,-0.770172715401,LONG,0.254082110803,LONG,2006-09-04,-3860.26,887.65,0.057411463897,887.65,828.38,0.0104889538196,0.25674716633,0.205081359625,887.65,5003.64,0.0603894585634,0.229310341106,887.65,3813.59
12,12,EURO FX - CHICAGO MERCANTILE EXCHANGE,2006-09-05,05.09.2006,99741,CME,0,99,171026,14861,108061,8441,18141,9398,3733,59319,9214,2143,7884,2619,26,114548,143635,56478,27391,858.0,869.0,292.0,-7.0,745.0,-949.0,26.0,-3758.0,1679.0,1060.0,414.0,1506.0,-1.0,-652.0,3606.0,1510.0,-2748.0,100,8.7,63.2,4.9,10.6,5.5,2.2,34.7,5.4,1.3,4.6,1.5,0.0,67.0,84.0,33.0,16.0,120,16.0,19.0,10.0,9.0,7.0,9.0,37.0,16.0,12.0,11.0,5.0,,86.0,66.0,23.3,47.1,30.6,62.4,23.2,46.4,29.3,58.7,"(CONTRACTS OF EUR 125,000)",F10,FutOnly,0.731107641574,SHORT,-0.758204389776,LONG,0.317477032572,LONG,2006-09-11,1036.2,999.59,0.063394921769,999.59,1827.97,0.0116170126698,0.321165167282,0.26347373871,999.59,6003.23,0.062848420964,0.197427872524,999.59,4813.18
13,13,EURO FX - CHICAGO MERCANTILE EXCHANGE,2006-09-12,12.09.2006,99741,CME,0,99,168483,13545,93994,12110,18597,10035,3123,61227,10696,1986,5151,1682,0,115739,133626,52744,34857,-2543.0,-1316.0,-14067.0,3669.0,456.0,637.0,-610.0,1908.0,1482.0,-157.0,-2733.0,-937.0,-26.0,1191.0,-10009.0,-3734.0,7466.0,100,8.0,55.8,7.2,11.0,6.0,1.9,36.3,6.3,1.2,3.1,1.0,0.0,68.7,79.3,31.3,20.7,105,14.0,18.0,15.0,9.0,8.0,8.0,27.0,18.0,11.0,9.0,,0.0,80.0,59.0,24.5,42.9,32.4,56.1,24.4,40.0,31.5,51.2,"(CONTRACTS OF EUR 125,000)",F10,FutOnly,0.702570804889,SHORT,-0.7480913901,LONG,0.299036043588,LONG,2006-09-18,907.77,887.11,-0.018440988984,887.11,2715.08,-0.00381147790706,0.297896274314,0.314735726416,887.11,6890.34,0.0574010854888,0.219046153352,887.11,5700.29
14,14,EURO FX - CHICAGO MERCANTILE EXCHANGE,2006-09-19,19.09.2006,99741,CME,0,99,131398,9961,69297,1012,18995,9551,2798,46743,13340,1064,5270,2179,4,85847,99245,45551,32153,-37085.0,-3584.0,-24697.0,-11098.0,398.0,-484.0,-325.0,-14484.0,2644.0,-922.0,119.0,497.0,4.0,-29892.0,-34381.0,-7193.0,-2704.0,100,7.6,52.7,0.8,14.5,7.3,2.1,35.6,10.2,0.8,4.0,1.7,0.0,65.3,75.5,34.7,24.5,104,12.0,16.0,4.0,10.0,8.0,7.0,26.0,18.0,7.0,11.0,,,69.0,54.0,25.9,39.5,33.0,50.3,25.8,37.6,32.8,48.3,"(CONTRACTS OF EUR 125,000)",F10,FutOnly,0.555947605812,SHORT,-0.74864367004,LONG,0.330834442654,LONG,2006-09-25,797.69,804.91,0.031798399066,804.91,3519.99,0.00566013324734,0.332707009682,0.303749978841,804.91,7695.25,0.0549601327231,0.195630975492,804.91,6505.2
15,15,EURO FX - CHICAGO MERCANTILE EXCHANGE,2006-09-26,26.09.2006,99741,CME,0,99,136955,11706,80847,2437,19876,7662,2804,43390,11950,644,6927,1082,17,87801,107443,49154,29512,5557.0,1745.0,11550.0,1425.0,881.0,-1889.0,6.0,-3353.0,-1390.0,-420.0,1657.0,-1097.0,13.0,1954.0,8198.0,3603.0,-2641.0,100,8.5,59.0,1.8,14.5,5.6,2.0,31.7,8.7,0.5,5.1,0.8,0.0,64.1,78.5,35.9,21.5,109,14.0,18.0,5.0,10.0,7.0,8.0,29.0,18.0,5.0,11.0,,,75.0,53.0,22.9,42.3,29.7,54.1,22.8,40.2,29.4,51.0,"(CONTRACTS OF EUR 125,000)",F10,FutOnly,0.568124322371,SHORT,-0.74704223526,LONG,0.443532573172,LONG,2006-10-02,-3423.51,796.52,0.112698130518,796.52,4316.51,0.0209121263259,0.452807782372,0.347910710214,796.52,8491.77,0.0738022631331,0.274806966683,796.52,7301.72
16,16,EURO FX - CHICAGO MERCANTILE EXCHANGE,2006-10-03,03.10.2006,99741,CME,0,99,142202,10652,81980,3948,19735,6666,2889,50567,13037,1090,7071,1993,102,96054,111705,46148,30497,5247.0,-1054.0,1133.0,1511.0,-141.0,-996.0,85.0,7177.0,1087.0,446.0,144.0,911.0,85.0,8253.0,4262.0,-3006.0,985.0,100,7.5,57.7,2.8,13.9,4.7,2.0,35.6,9.2,0.8,5.0,1.4,0.1,67.5,78.6,32.5,21.4,115,13.0,19.0,5.0,10.0,7.0,8.0,29.0,19.0,7.0,13.0,5.0,,78.0,58.0,22.9,39.7,30.2,50.7,22.3,37.0,29.0,46.7,"(CONTRACTS OF EUR 125,000)",F10,FutOnly,0.590057229105,SHORT,-0.770014681751,LONG,0.495019128063,LONG,2006-10-09,809.47,811.19,0.051486554891,811.19,5127.7,0.0093719331629,0.499658414246,0.451390190922,811.19,9302.96,0.0700380443029,0.274074821338,811.19,8112.91
17,17,EURO FX - CHICAGO MERCANTILE EXCHANGE,2006-10-10,10.10.2006,99741,CME,0,99,150795,18688,65752,4187,20812,5942,2958,41815,28722,2537,8334,2529,0,99331,112627,51464,38168,8593.0,8036.0,-16228.0,239.0,1077.0,-724.0,69.0,-8752.0,15685.0,1447.0,1263.0,536.0,-102.0,3277.0,922.0,5316.0,7671.0,100,12.4,43.6,2.8,13.8,3.9,2.0,27.7,19.0,1.7,5.5,1.7,0.0,65.9,74.7,34.1,25.3,118,16.0,19.0,7.0,11.0,7.0,8.0,22.0,27.0,10.0,12.0,4.0,0.0,74.0,69.0,23.4,32.9,31.0,43.7,21.9,32.9,28.5,42.6,"(CONTRACTS OF EUR 125,000)",F10,FutOnly,0.185618895048,SHORT,-0.557366177167,LONG,0.555804739478,LONG,2006-10-16,903.47,828.88,0.060785611415,828.88,5956.58,0.0111250804626,0.561988111926,0.504394785804,828.88,10131.84,0.0689974484399,0.249468822394,828.88,8941.79
18,18,EURO FX - CHICAGO MERCANTILE EXCHANGE,2006-10-17,17.10.2006,99741,CME,0,99,154610,26200,63574,3032,22357,4884,2799,41452,34619,2430,6949,2211,0,105219,113549,49391,41061,3815.0,7512.0,-2178.0,-1155.0,1545.0,-1058.0,-159.0,-363.0,5897.0,-107.0,-1385.0,-318.0,0.0,5888.0,922.0,-2073.0,2893.0,100,16.9,41.1,2.0,14.5,3.2,1.8,26.8,22.4,1.6,4.5,1.4,0.0,68.1,73.4,31.9,26.6,125,19.0,17.0,6.0,11.0,5.0,7.0,25.0,32.0,9.0,12.0,4.0,0.0,79.0,68.0,20.2,32.5,29.7,41.8,18.8,32.0,27.9,40.9,"(CONTRACTS OF EUR 125,000)",F10,FutOnly,0.089823980229,SHORT,-0.416312072538,LONG,0.641422855255,LONG,2006-10-23,729.62,-5485.33,0.085618115777,-5485.33,471.25,0.0158067422908,0.651561661027,0.569210708495,-5485.33,4646.51,0.0739814111681,0.222462010898,-5485.33,3456.46
19,19,EURO FX - CHICAGO MERCANTILE EXCHANGE,2006-10-24,24.10.2006,99741,CME,0,99,158034,31091,63290,2946,23359,5381,2825,41209,37360,2358,7867,2237,290,111945,116687,46089,41347,3424.0,4891.0,-284.0,-86.0,1002.0,497.0,26.0,-243.0,2741.0,-72.0,918.0,26.0,290.0,6726.0,3138.0,-3302.0,286.0,100,19.7,40.0,1.9,14.8,3.4,1.8,26.1,23.6,1.5,5.0,1.4,0.2,70.8,73.8,29.2,26.2,123,20.0,17.0,11.0,11.0,5.0,7.0,24.0,29.0,11.0,13.0,5.0,,82.0,71.0,20.7,29.2,31.1,40.5,20.3,29.2,29.8,39.8,"(CONTRACTS OF EUR 125,000)",F10,FutOnly,0.0489887869261,SHORT,-0.341159767326,LONG,0.625539318024,LONG,2006-10-30,653.8,674.02,-0.015883537231,674.02,1145.27,-0.00332932258052,0.623456695848,0.638907592938,674.02,5320.53,0.0659336972705,0.228210589407,674.02,4130.48
20,20,EURO FX - CHICAGO MERCANTILE EXCHANGE,2006-10-31,31.10.2006,99741,CME,0,99,162230,13380,94586,7483,23176,4978,2922,55998,14863,3199,6527,2885,0,112685,130916,49545,31314,4196.0,-17711.0,31296.0,4537.0,-183.0,-403.0,97.0,14789.0,-22497.0,841.0,-1340.0,648.0,-290.0,740.0,14229.0,3456.0,-10033.0,100,8.2,58.3,4.6,14.3,3.1,1.8,34.5,9.2,2.0,4.0,1.8,0.0,69.5,80.7,30.5,19.3,124,10.0,26.0,10.0,11.0,6.0,7.0,33.0,19.0,11.0,13.0,6.0,0.0,85.0,67.0,22.6,37.3,31.6,49.8,22.4,35.7,29.4,46.4,"(CONTRACTS OF EUR 125,000)",F10,FutOnly,0.58050267425,SHORT,-0.752144193542,LONG,0.646373517085,LONG,2006-11-06,565.59,607.14,0.020834199061,607.14,1752.41,0.00359305713242,0.648695974061,0.628781249869,607.14,5927.67,0.0602066820316,0.245045817773,607.14,4737.62
