,Unnamed: 0,Market_and_Exchange_Names,As_of_Date_In_Form_YYMMDD,Report_Date_as_MM_DD_YYYY,CFTC_Contract_Market_Code,CFTC_Market_Code,CFTC_Region_Code,CFTC_Commodity_Code,Open_Interest_All,Dealer_Positions_Long_All,Dealer_Positions_Short_All,Dealer_Positions_Spread_All,Asset_Mgr_Positions_Long_All,Asset_Mgr_Positions_Short_All,Asset_Mgr_Positions_Spread_All,Lev_Money_Positions_Long_All,Lev_Money_Positions_Short_All,Lev_Money_Positions_Spread_All,Other_Rept_Positions_Long_All,Other_Rept_Positions_Short_All,Other_Rept_Positions_Spread_All,Tot_Rept_Positions_Long_All,Tot_Rept_Positions_Short_All,NonRept_Positions_Long_All,NonRept_Positions_Short_All,Change_in_Open_Interest_All,Change_in_Dealer_Long_All,Change_in_Dealer_Short_All,Change_in_Dealer_Spread_All,Change_in_Asset_Mgr_Long_All,Change_in_Asset_Mgr_Short_All,Change_in_Asset_Mgr_Spread_All,Change_in_Lev_Money_Long_All,Change_in_Lev_Money_Short_All,Change_in_Lev_Money_Spread_All,Change_in_Other_Rept_Long_All,Change_in_Other_Rept_Short_All,Change_in_Other_Rept_Spread_All,Change_in_Tot_Rept_Long_All,Change_in_Tot_Rept_Short_All,Change_in_NonRept_Long_All,Change_in_NonRept_Short_All,Pct_of_Open_Interest_All,Pct_of_OI_Dealer_Long_All,Pct_of_OI_Dealer_Short_All,Pct_of_OI_Dealer_Spread_All,Pct_of_OI_Asset_Mgr_Long_All,Pct_of_OI_Asset_Mgr_Short_All,Pct_of_OI_Asset_Mgr_Spread_All,Pct_of_OI_Lev_Money_Long_All,Pct_of_OI_Lev_Money_Short_All,Pct_of_OI_Lev_Money_Spread_All,Pct_of_OI_Other_Rept_Long_All,Pct_of_OI_Other_Rept_Short_All,Pct_of_OI_Other_Rept_Spread_All,Pct_of_OI_Tot_Rept_Long_All,Pct_of_OI_Tot_Rept_Short_All,Pct_of_OI_NonRept_Long_All,Pct_of_OI_NonRept_Short_All,Traders_Tot_All,Traders_Dealer_Long_All,Traders_Dealer_Short_All,Traders_Dealer_Spread_All,Traders_Asset_Mgr_Long_All,Traders_Asset_Mgr_Short_All,Traders_Asset_Mgr_Spread_All,Traders_Lev_Money_Long_All,Traders_Lev_Money_Short_All,Traders_Lev_Money_Spread_All,Traders_Other_Rept_Long_All,Traders_Other_Rept_Short_All,Traders_Other_Rept_Spread_All,Traders_Tot_Rept_Long_All,Traders_Tot_Rept_Short_All,Conc_Gross_LE_4_TDR_Long_All,Conc_Gross_LE_4_TDR_Short_All,Conc_Gross_LE_8_TDR_Long_All,Conc_Gross_LE_8_TDR_Short_All,Conc_Net_LE_4_TDR_Long_All,Conc_Net_LE_4_TDR_Short_All,Conc_Net_LE_8_TDR_Long_All,Conc_Net_LE_8_TDR_Short_All,Contract_Units,CFTC_SubGroup_Code,FutOnly_or_Combined,Leverage_Money_Diff,Leverage_Money_Signal1,Dealer_Diff,Dealer_Signal1,Asset_Mgr_Diff,Asset_Mgr_Signal1,Trade_Date,CALL_USDCHF,PUT_USDCHF,Returns,Basic_PL,Total_Basic_PL,AR_Forecast_Returns,AR_Forecast_Diff,AR_Comb_Forecast,AR_Comb_PL,Total_AR_Comb_PL,Forecast_Volatility,hvol21,GARCH_PL,Total_GARCH__PL
0,0,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2006-06-13,13.06.2006,92741,CME,0,92,122926,58954,59214,27824,628,0,0,19248,22467,543,450,0,0,107647,110048,15279,12878,,,,,,,,,,,,,,,,,,100,48.0,48.2,22.6,0.5,0.0,0.0,15.7,18.3,0.4,0.4,0.0,0.0,87.6,89.5,12.4,10.5,45,9.0,11.0,12.0,,0.0,0.0,14.0,9.0,,,0.0,0.0,33.0,27.0,47.8,58.4,67.9,74.2,40.9,50.4,51.8,57.5,"(CONTRACTS OF CHF 125,000)",F10,FutOnly,-0.0771664868752,LONG,-0.00220025726085,LONG,1.0,LONG,2006-06-19,1143.21,1169.42,0.0,1169.42,1169.42,-0.00318626893553,0.996813731064,,0.0,0.0,0.0,,0.0,0.0
1,1,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2006-06-20,20.06.2006,92741,CME,0,92,57617,25556,19990,121,613,0,0,18452,24602,36,450,617,0,45228,45366,12389,12251,-65309.0,-33398.0,-39224.0,-27703.0,-15.0,0.0,0.0,-796.0,2135.0,-507.0,0.0,617.0,0.0,-62419.0,-64682.0,-2890.0,-627.0,100,44.4,34.7,0.2,1.1,0.0,0.0,32.0,42.7,0.1,0.8,1.1,0.0,78.5,78.7,21.5,21.3,36,5.0,6.0,,,0.0,0.0,13.0,9.0,,,,0.0,21.0,17.0,47.3,51.3,62.7,67.5,47.3,51.1,62.7,67.3,"(CONTRACTS OF CHF 125,000)",F10,FutOnly,-0.142843870488,LONG,0.122206121284,SHORT,1.0,LONG,2006-06-26,1213.95,-2119.9,0.0,-2119.9,-950.48,-0.00347359004286,0.996526409957,0.996526409957,-2119.9,-2119.9,0.166371425906,,0.0,0.0
2,2,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2006-06-27,27.06.2006,92741,CME,0,92,63556,37218,19295,229,613,0,0,12664,29822,36,450,617,0,51210,49999,12346,13557,5939.0,11662.0,-695.0,108.0,0.0,0.0,0.0,-5788.0,5220.0,0.0,0.0,0.0,0.0,5982.0,4633.0,-43.0,1306.0,100,58.6,30.4,0.4,1.0,0.0,0.0,19.9,46.9,0.1,0.7,1.0,0.0,80.6,78.7,19.4,21.3,34,5.0,6.0,,,0.0,0.0,10.0,10.0,,,,0.0,18.0,18.0,58.5,52.8,70.1,68.2,58.5,52.4,70.0,67.8,"(CONTRACTS OF CHF 125,000)",F10,FutOnly,-0.403850680224,LONG,0.31714826677,SHORT,1.0,LONG,2006-07-03,1201.06,1261.63,0.0,1261.63,311.15,-0.00347359004286,0.996526409957,0.996526409957,1261.63,-858.27,0.166378123829,,0.0,0.0
3,3,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2006-07-03,03.07.2006,92741,CME,0,92,58809,26618,19680,229,613,407,0,19487,25411,0,450,617,0,47397,46344,11412,12465,-4747.0,-10600.0,385.0,0.0,0.0,407.0,0.0,6823.0,-4411.0,-36.0,0.0,0.0,0.0,-3813.0,-3655.0,-934.0,-1092.0,100,45.3,33.5,0.4,1.0,0.7,0.0,33.1,43.2,0.0,0.8,1.0,0.0,80.6,78.8,19.4,21.2,40,5.0,7.0,,,,0.0,13.0,11.0,0.0,,,0.0,21.0,20.0,46.8,49.0,63.5,65.3,46.8,48.6,63.5,64.9,"(CONTRACTS OF CHF 125,000)",F10,FutOnly,-0.131943516415,LONG,0.149855285326,SHORT,0.201960784314,LONG,2006-07-10,-4128.4,1109.7,-0.798039215686,1109.7,1420.85,0.0684894224285,0.215792961785,0.215792961785,1109.7,251.43,0.287920338438,0.848140806704,1109.7,1109.7
4,4,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2006-07-11,11.07.2006,92741,CME,0,92,62771,31574,21268,308,613,401,0,17670,28455,0,450,617,0,50615,51049,12156,11722,3962.0,4956.0,1588.0,79.0,0.0,-6.0,0.0,-1817.0,3044.0,0.0,0.0,0.0,0.0,3218.0,4705.0,744.0,-743.0,100,50.3,33.9,0.5,1.0,0.6,0.0,28.1,45.3,0.0,0.7,1.0,0.0,80.6,81.3,19.4,18.7,44,7.0,7.0,,,,0.0,14.0,12.0,0.0,,,0.0,25.0,22.0,49.1,50.9,62.2,66.3,48.9,50.6,62.1,65.9,"(CONTRACTS OF CHF 125,000)",F10,FutOnly,-0.233821138211,LONG,0.195034253056,SHORT,0.209072978304,LONG,2006-07-17,1060.47,1088.27,0.00711219399,1088.27,2509.12,-0.00411493058696,0.208212657511,0.208212657511,1088.27,1339.7,0.272552235025,0.846895122049,1088.27,2197.97
5,5,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2006-07-18,18.07.2006,92741,CME,0,92,69612,39999,18684,188,634,0,0,17372,31234,0,450,2029,0,58643,52135,10969,17477,6841.0,8425.0,-2584.0,-120.0,21.0,-401.0,0.0,-298.0,2779.0,0.0,0.0,1412.0,0.0,8028.0,1086.0,-1187.0,5755.0,100,57.5,26.8,0.3,0.9,0.0,0.0,25.0,44.9,0.0,0.6,2.9,0.0,84.2,74.9,15.8,25.1,46,8.0,6.0,,,0.0,0.0,11.0,17.0,0.0,,,0.0,22.0,26.0,52.3,40.9,66.1,55.2,52.1,40.8,66.0,55.1,"(CONTRACTS OF CHF 125,000)",F10,FutOnly,-0.285191128667,LONG,0.363222739124,SHORT,1.0,LONG,2006-07-24,889.04,-478.91,0.790927021696,-478.91,2030.21,-0.0747952619702,0.92520473803,0.92520473803,-478.91,860.79,0.350191788887,0.907334682926,-478.91,1719.06
6,6,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2006-07-25,25.07.2006,92741,CME,0,92,73560,45623,18795,240,634,0,0,14815,34295,36,450,2029,0,61798,55395,11762,18165,3948.0,5624.0,111.0,52.0,0.0,0.0,0.0,-2557.0,3061.0,36.0,0.0,0.0,0.0,3155.0,3260.0,793.0,688.0,100,62.0,25.6,0.3,0.9,0.0,0.0,20.1,46.6,0.0,0.6,2.8,0.0,84.0,75.3,16.0,24.7,46,8.0,7.0,,,0.0,0.0,10.0,17.0,,,,0.0,22.0,28.0,57.5,35.3,70.6,51.0,57.4,35.1,70.4,50.8,"(CONTRACTS OF CHF 125,000)",F10,FutOnly,-0.396660557931,LONG,0.416467446987,SHORT,1.0,LONG,2006-07-31,1096.66,1151.6,0.0,1151.6,3181.81,-0.00347359004286,0.996526409957,0.996526409957,1151.6,2012.39,0.328332905069,0.907334682926,1151.6,2870.66
7,7,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2006-08-01,01.08.2006,92741,CME,0,92,65105,35667,23249,304,634,0,0,15954,23990,0,450,829,0,53009,48372,12096,16733,-8455.0,-9956.0,4454.0,64.0,0.0,0.0,0.0,1139.0,-10305.0,-36.0,0.0,-1200.0,0.0,-8789.0,-7023.0,334.0,-1432.0,100,54.8,35.7,0.5,1.0,0.0,0.0,24.5,36.8,0.0,0.7,1.3,0.0,81.4,74.3,18.6,25.7,42,6.0,9.0,,,0.0,0.0,11.0,13.0,0.0,,,0.0,21.0,24.0,55.5,40.2,67.6,56.2,55.3,39.9,67.5,55.9,"(CONTRACTS OF CHF 125,000)",F10,FutOnly,-0.201181654316,LONG,0.210774662231,SHORT,1.0,LONG,2006-08-07,-2886.48,1163.04,0.0,1163.04,4344.85,-0.00347359004286,0.996526409957,0.996526409957,1163.04,3175.43,0.308687146275,0.843101851746,1163.04,4033.7
8,8,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2006-08-08,08.08.2006,92741,CME,0,92,72643,36190,24267,324,429,0,0,20156,33692,0,450,829,0,57549,59112,15094,13531,7538.0,523.0,1018.0,20.0,-205.0,0.0,0.0,4202.0,9702.0,0.0,0.0,0.0,0.0,4540.0,10740.0,2998.0,-3202.0,100,49.8,33.4,0.4,0.6,0.0,0.0,27.7,46.4,0.0,0.6,1.1,0.0,79.2,81.4,20.8,18.6,45,6.0,10.0,,,0.0,0.0,13.0,13.0,0.0,,,0.0,23.0,25.0,50.2,48.2,65.4,62.3,50.1,47.9,65.3,62.0,"(CONTRACTS OF CHF 125,000)",F10,FutOnly,-0.251374238598,LONG,0.197214549184,SHORT,1.0,LONG,2006-08-14,1024.78,-2522.13,0.0,-2522.13,1822.72,-0.00347359004286,0.996526409957,0.996526409957,-2522.13,653.3,0.291080896476,0.84435299666,-2522.13,1511.57
9,9,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2006-08-15,15.08.2006,92741,CME,0,92,66021,41061,23057,322,429,0,0,11754,26450,0,450,1021,0,54016,50850,12005,15171,-6622.0,4871.0,-1210.0,-2.0,0.0,0.0,0.0,-8402.0,-7242.0,0.0,0.0,192.0,0.0,-3533.0,-8262.0,-3089.0,1640.0,100,62.2,34.9,0.5,0.6,0.0,0.0,17.8,40.1,0.0,0.7,1.5,0.0,81.8,77.0,18.2,23.0,43,8.0,8.0,,,0.0,0.0,9.0,14.0,0.0,,,0.0,21.0,25.0,58.8,43.1,72.2,58.8,58.7,42.8,72.1,58.4,"(CONTRACTS OF CHF 125,000)",F10,FutOnly,-0.384671762119,LONG,0.280794784616,SHORT,1.0,LONG,2006-08-21,-975.2,990.71,0.0,990.71,2813.43,-0.00347359004286,0.996526409957,0.996526409957,990.71,1644.01,0.275350817964,0.0,0.0,1511.57
