,Market_and_Exchange_Names,As_of_Date_In_Form_YYMMDD,Report_Date_as_MM_DD_YYYY,CFTC_Contract_Market_Code,CFTC_Market_Code,CFTC_Region_Code,CFTC_Commodity_Code,Open_Interest_All,Dealer_Positions_Long_All,Dealer_Positions_Short_All,Dealer_Positions_Spread_All,Asset_Mgr_Positions_Long_All,Asset_Mgr_Positions_Short_All,Asset_Mgr_Positions_Spread_All,Lev_Money_Positions_Long_All,Lev_Money_Positions_Short_All,Lev_Money_Positions_Spread_All,Other_Rept_Positions_Long_All,Other_Rept_Positions_Short_All,Other_Rept_Positions_Spread_All,Tot_Rept_Positions_Long_All,Tot_Rept_Positions_Short_All,NonRept_Positions_Long_All,NonRept_Positions_Short_All,Change_in_Open_Interest_All,Change_in_Dealer_Long_All,Change_in_Dealer_Short_All,Change_in_Dealer_Spread_All,Change_in_Asset_Mgr_Long_All,Change_in_Asset_Mgr_Short_All,Change_in_Asset_Mgr_Spread_All,Change_in_Lev_Money_Long_All,Change_in_Lev_Money_Short_All,Change_in_Lev_Money_Spread_All,Change_in_Other_Rept_Long_All,Change_in_Other_Rept_Short_All,Change_in_Other_Rept_Spread_All,Change_in_Tot_Rept_Long_All,Change_in_Tot_Rept_Short_All,Change_in_NonRept_Long_All,Change_in_NonRept_Short_All,Pct_of_Open_Interest_All,Pct_of_OI_Dealer_Long_All,Pct_of_OI_Dealer_Short_All,Pct_of_OI_Dealer_Spread_All,Pct_of_OI_Asset_Mgr_Long_All,Pct_of_OI_Asset_Mgr_Short_All,Pct_of_OI_Asset_Mgr_Spread_All,Pct_of_OI_Lev_Money_Long_All,Pct_of_OI_Lev_Money_Short_All,Pct_of_OI_Lev_Money_Spread_All,Pct_of_OI_Other_Rept_Long_All,Pct_of_OI_Other_Rept_Short_All,Pct_of_OI_Other_Rept_Spread_All,Pct_of_OI_Tot_Rept_Long_All,Pct_of_OI_Tot_Rept_Short_All,Pct_of_OI_NonRept_Long_All,Pct_of_OI_NonRept_Short_All,Traders_Tot_All,Traders_Dealer_Long_All,Traders_Dealer_Short_All,Traders_Dealer_Spread_All,Traders_Asset_Mgr_Long_All,Traders_Asset_Mgr_Short_All,Traders_Asset_Mgr_Spread_All,Traders_Lev_Money_Long_All,Traders_Lev_Money_Short_All,Traders_Lev_Money_Spread_All,Traders_Other_Rept_Long_All,Traders_Other_Rept_Short_All,Traders_Other_Rept_Spread_All,Traders_Tot_Rept_Long_All,Traders_Tot_Rept_Short_All,Conc_Gross_LE_4_TDR_Long_All,Conc_Gross_LE_4_TDR_Short_All,Conc_Gross_LE_8_TDR_Long_All,Conc_Gross_LE_8_TDR_Short_All,Conc_Net_LE_4_TDR_Long_All,Conc_Net_LE_4_TDR_Short_All,Conc_Net_LE_8_TDR_Long_All,Conc_Net_LE_8_TDR_Short_All,Contract_Units,CFTC_SubGroup_Code,FutOnly_or_Combined,Leverage_Money_Diff,Leverage_Money_Signal1,Dealer_Diff,Dealer_Signal1,Asset_Mgr_Diff,Asset_Mgr_Signal1
10,BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,2006-08-22,22.08.2006,096742,CME,0,96,127943,17341,92446,3565,8036,1935,1051,66667,13465,9,457,0,0,97126,112471,30817,15472,-8001.0,3015.0,-7607.0,-39.0,296.0,-55.0,8.0,-7557.0,93.0,9.0,-14.0,-512.0,0.0,-4282.0,-8103.0,-3719.0,102.0,100,13.6,72.3,2.8,6.3,1.5,0.8,52.1,10.5,0.0,0.4,0.0,0.0,75.9,87.9,24.1,12.1,67,8.0,18.0,5.0,,4.0,,27.0,6.0,,,0.0,0.0,44.0,32.0,32.9,46.1,48.4,66.0,32.9,46.0,46.2,65.8,"(CONTRACTS OF GBP 62,500)",F10,FutOnly,0.663929516298,SHORT,-0.68409738858,LONG,0.611874435864,LONG
11,BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,2006-08-29,29.08.2006,096742,CME,0,96,130539,16363,95388,3430,8312,1974,1033,68325,13081,80,1063,0,0,98606,114986,31933,15553,2596.0,-978.0,2942.0,-135.0,276.0,39.0,-18.0,1658.0,-384.0,71.0,606.0,0.0,0.0,1480.0,2515.0,1116.0,81.0,100,12.5,73.1,2.6,6.4,1.5,0.8,52.3,10.0,0.1,0.8,0.0,0.0,75.5,88.1,24.5,11.9,72,6.0,18.0,4.0,,4.0,,33.0,6.0,,,0.0,0.0,49.0,30.0,32.4,45.4,44.7,66.3,32.4,45.4,42.5,66.3,"(CONTRACTS OF GBP 62,500)",F10,FutOnly,0.678623197307,SHORT,-0.707152508702,LONG,0.616177328408,LONG
12,BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,2006-09-05,05.09.2006,096742,CME,0,96,131836,18777,94665,3356,8588,1878,1070,67834,12726,20,1569,40,0,101214,113755,30622,18081,1297.0,2414.0,-723.0,-74.0,276.0,-96.0,37.0,-491.0,-355.0,-60.0,506.0,40.0,0.0,2608.0,-1231.0,-1311.0,2528.0,100,14.2,71.8,2.5,6.5,1.4,0.8,51.5,9.7,0.0,1.2,0.0,0.0,76.8,86.3,23.2,13.7,72,8.0,19.0,7.0,4.0,4.0,,29.0,5.0,,,,0.0,51.0,31.0,34.4,46.4,47.4,65.9,34.4,46.2,45.4,65.7,"(CONTRACTS OF GBP 62,500)",F10,FutOnly,0.684061569017,SHORT,-0.668958586767,LONG,0.641123638448,LONG
13,BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,2006-09-12,12.09.2006,096742,CME,0,96,127633,20643,69134,17876,8025,2841,529,51081,15778,385,1131,30,0,99670,106573,27963,21060,-4203.0,1866.0,-25531.0,14520.0,-563.0,963.0,-541.0,-16753.0,3052.0,365.0,-438.0,-10.0,0.0,-1544.0,-7182.0,-2659.0,2979.0,100,16.2,54.2,14.0,6.3,2.2,0.4,40.0,12.4,0.3,0.9,0.0,0.0,78.1,83.5,21.9,16.5,63,8.0,16.0,11.0,,5.0,,20.0,8.0,,,,0.0,43.0,35.0,37.1,38.1,55.1,59.8,33.5,35.3,47.0,51.1,"(CONTRACTS OF GBP 62,500)",F10,FutOnly,0.528021657518,SHORT,-0.540127204072,LONG,0.477084483711,LONG
14,BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,2006-09-19,19.09.2006,096742,CME,0,96,104255,10645,70212,416,6395,2847,492,60045,15544,95,945,82,0,79033,89688,25222,14567,-23378.0,-9998.0,1078.0,-17460.0,-1630.0,6.0,-37.0,8964.0,-234.0,-290.0,-186.0,52.0,0.0,-20637.0,-16885.0,-2741.0,-6493.0,100,10.2,67.3,0.4,6.1,2.7,0.5,57.6,14.9,0.1,0.9,0.1,0.0,75.8,86.0,24.2,14.0,61,4.0,15.0,,,5.0,,24.0,6.0,,,,0.0,37.0,30.0,44.3,40.3,56.2,63.5,44.3,39.9,56.2,63.1,"(CONTRACTS OF GBP 62,500)",F10,FutOnly,0.588723226925,SHORT,-0.736695647872,LONG,0.383899588834,LONG
15,BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,2006-09-26,26.09.2006,096742,CME,0,96,122122,9311,83475,224,6071,3007,492,74768,18425,8,975,1153,0,91849,106784,30273,15338,17867.0,-1334.0,13263.0,-192.0,-324.0,160.0,0.0,14723.0,2881.0,-87.0,30.0,1071.0,0.0,12816.0,17096.0,5051.0,771.0,100,7.6,68.4,0.2,5.0,2.5,0.4,61.2,15.1,0.0,0.8,0.9,0.0,75.2,87.4,24.8,12.6,68,,17.0,,,5.0,,27.0,9.0,,,,0.0,39.0,35.0,39.9,38.9,54.2,62.1,39.9,38.8,54.2,61.9,"(CONTRACTS OF GBP 62,500)",F10,FutOnly,0.604584035282,SHORT,-0.799301618779,LONG,0.337519277374,LONG
16,BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,2006-10-03,03.10.2006,096742,CME,0,96,104665,9280,65721,805,5538,2969,426,62733,17731,155,939,1105,0,79876,88912,24789,15753,-17457.0,-31.0,-17754.0,581.0,-533.0,-38.0,-66.0,-12035.0,-694.0,147.0,-36.0,-48.0,0.0,-11973.0,-17872.0,-5484.0,415.0,100,8.9,62.8,0.8,5.3,2.8,0.4,59.9,16.9,0.1,0.9,1.1,0.0,76.3,84.9,23.7,15.1,61,,12.0,,,5.0,,25.0,11.0,,,,0.0,38.0,29.0,43.7,42.1,57.2,65.7,43.7,41.2,57.2,64.9,"(CONTRACTS OF GBP 62,500)",F10,FutOnly,0.559281169219,SHORT,-0.752536632845,LONG,0.301986599271,LONG
17,BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,2006-10-10,10.10.2006,096742,CME,0,96,101848,19602,56627,1893,5225,2992,480,46255,21658,311,924,0,0,74690,83961,27158,17887,-2817.0,10322.0,-9094.0,1088.0,-313.0,23.0,54.0,-16478.0,3927.0,156.0,-15.0,-1105.0,0.0,-5186.0,-4951.0,2369.0,2134.0,100,19.2,55.6,1.9,5.1,2.9,0.5,45.4,21.3,0.3,0.9,0.0,0.0,73.3,82.4,26.7,17.6,61,6.0,11.0,,,5.0,,22.0,12.0,,,0.0,0.0,37.0,32.0,40.8,40.0,52.7,59.9,40.8,38.1,52.7,58.1,"(CONTRACTS OF GBP 62,500)",F10,FutOnly,0.362183970668,SHORT,-0.485707539126,LONG,0.271753681392,LONG
18,BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,2006-10-17,17.10.2006,096742,CME,0,96,108510,18914,61035,1576,6843,2989,410,54550,23269,0,997,0,0,83290,89279,25220,19231,6662.0,-688.0,4408.0,-317.0,1618.0,-3.0,-70.0,8295.0,1611.0,-311.0,73.0,0.0,0.0,8600.0,5318.0,-1938.0,1344.0,100,17.4,56.2,1.5,6.3,2.8,0.4,50.3,21.4,0.0,0.9,0.0,0.0,76.8,82.3,23.2,17.7,60,4.0,11.0,,4.0,5.0,,20.0,13.0,0.0,,0.0,0.0,35.0,29.0,38.8,40.1,55.0,61.7,38.8,38.6,55.0,60.2,"(CONTRACTS OF GBP 62,500)",F10,FutOnly,0.401971240957,SHORT,-0.526848365833,LONG,0.391985353946,LONG
19,BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,2006-10-24,24.10.2006,096742,CME,0,96,101676,12793,63119,1424,7935,2076,443,53329,17568,591,1558,0,0,78073,85221,23603,16455,-6834.0,-6121.0,2084.0,-152.0,1092.0,-913.0,33.0,-1221.0,-5701.0,591.0,561.0,0.0,0.0,-5217.0,-4058.0,-1617.0,-2776.0,100,12.6,62.1,1.4,7.8,2.0,0.4,52.4,17.3,0.6,1.5,0.0,0.0,76.8,83.8,23.2,16.2,62,4.0,13.0,,4.0,4.0,,23.0,10.0,,4.0,0.0,0.0,40.0,29.0,39.1,43.0,50.6,64.9,39.1,41.6,50.6,63.5,"(CONTRACTS OF GBP 62,500)",F10,FutOnly,0.504407802869,SHORT,-0.662951838971,LONG,0.58525621816,LONG
20,BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,2006-10-31,31.10.2006,096742,CME,0,96,126678,10073,84960,1442,7775,2105,433,76770,16981,178,982,184,0,97653,106283,29025,20395,25002.0,-2720.0,21841.0,18.0,-160.0,29.0,-10.0,23441.0,-587.0,-413.0,-576.0,184.0,0.0,19580.0,21062.0,5422.0,3940.0,100,8.0,67.1,1.1,6.1,1.7,0.3,60.6,13.4,0.1,0.8,0.1,0.0,77.1,83.9,22.9,16.1,75,,18.0,4.0,4.0,4.0,,31.0,11.0,,,,0.0,48.0,35.0,39.6,40.3,50.2,61.4,39.6,39.3,50.2,60.4,"(CONTRACTS OF GBP 62,500)",F10,FutOnly,0.637742530746,SHORT,-0.78801048057,LONG,0.573886639676,LONG
21,BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,2006-11-07,07.11.2006,096742,CME,0,96,152030,10243,110408,1220,7124,2085,453,100097,17884,186,1419,1108,0,120742,133344,31288,18686,25352.0,170.0,25448.0,-222.0,-651.0,-20.0,20.0,23327.0,903.0,8.0,437.0,924.0,0.0,23089.0,27061.0,2263.0,-1709.0,100,6.7,72.6,0.8,4.7,1.4,0.3,65.8,11.8,0.1,0.9,0.7,0.0,79.4,87.7,20.6,12.3,85,4.0,23.0,,4.0,4.0,,37.0,7.0,,,,0.0,54.0,38.0,37.0,40.9,49.9,60.4,37.0,40.1,49.9,59.7,"(CONTRACTS OF GBP 62,500)",F10,FutOnly,0.696832540833,SHORT,-0.830204474062,LONG,0.547182104463,LONG
22,BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,2006-11-14,14.11.2006,096742,CME,0,96,136600,9858,101100,1289,6918,2539,486,82668,14329,419,2549,74,0,104187,120236,32413,16364,-15430.0,-385.0,-9308.0,69.0,-206.0,454.0,33.0,-17429.0,-3555.0,233.0,1130.0,-1034.0,0.0,-16555.0,-13108.0,1125.0,-2322.0,100,7.2,74.0,0.9,5.1,1.9,0.4,60.5,10.5,0.3,1.9,0.1,0.0,76.3,88.0,23.7,12.0,81,,23.0,4.0,5.0,4.0,,35.0,5.0,,4.0,,0.0,52.0,37.0,34.0,43.1,46.2,61.6,34.0,42.3,46.2,60.7,"(CONTRACTS OF GBP 62,500)",F10,FutOnly,0.704547563327,SHORT,-0.822311144757,LONG,0.463043248387,LONG
23,BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,2006-11-21,21.11.2006,096742,CME,0,96,140587,9372,100760,936,6751,2072,483,87732,17589,548,1403,1297,0,107225,123685,33362,16902,3987.0,-486.0,-340.0,-353.0,-167.0,-467.0,-3.0,5064.0,3260.0,129.0,-1146.0,1223.0,0.0,3038.0,3449.0,949.0,538.0,100,6.7,71.7,0.7,4.8,1.5,0.3,62.4,12.5,0.4,1.0,0.9,0.0,76.3,88.0,23.7,12.0,79,,22.0,5.0,6.0,,,32.0,6.0,,,5.0,0.0,49.0,40.0,36.1,42.8,50.2,62.0,36.1,42.2,50.2,61.4,"(CONTRACTS OF GBP 62,500)",F10,FutOnly,0.665992537101,SHORT,-0.829804234918,LONG,0.530318485776,LONG
24,BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,2006-11-28,28.11.2006,096742,CME,0,96,154081,9372,115472,1901,5520,1530,470,100053,12334,750,1001,1368,0,119067,133825,35014,20256,13494.0,0.0,14712.0,965.0,-1231.0,-542.0,-13.0,12321.0,-5255.0,202.0,-402.0,71.0,0.0,11842.0,10140.0,1652.0,3354.0,100,6.1,74.9,1.2,3.6,1.0,0.3,64.9,8.0,0.5,0.6,0.9,0.0,77.3,86.9,22.7,13.1,86,,23.0,5.0,5.0,,,41.0,6.0,4.0,,4.0,0.0,56.0,41.0,34.4,42.6,46.8,62.1,34.4,41.7,46.8,61.3,"(CONTRACTS OF GBP 62,500)",F10,FutOnly,0.780508421793,SHORT,-0.849860626061,LONG,0.565957446809,LONG
25,BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,2006-12-05,05.12.2006,096742,CME,0,96,151959,9331,109049,3174,5281,1526,582,94106,13481,1593,1488,2525,0,115555,131930,36404,20029,-2122.0,-41.0,-6423.0,1273.0,-239.0,-4.0,112.0,-5947.0,1147.0,843.0,487.0,1157.0,0.0,-3512.0,-1895.0,1390.0,-227.0,100,6.1,71.8,2.1,3.5,1.0,0.4,61.9,8.9,1.0,1.0,1.7,0.0,76.0,86.8,24.0,13.2,87,,22.0,6.0,5.0,,,38.0,9.0,4.0,,5.0,0.0,57.0,42.0,33.9,40.3,44.6,59.3,33.9,39.0,44.6,57.8,"(CONTRACTS OF GBP 62,500)",F10,FutOnly,0.749393514086,SHORT,-0.842355127555,LONG,0.551638019686,LONG
26,BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,2006-12-12,12.12.2006,096742,CME,0,96,181580,10336,117236,24812,3729,2491,765,102903,15176,1036,1310,2339,763,145654,164618,35926,16962,29621.0,1005.0,8187.0,21638.0,-1552.0,965.0,183.0,8797.0,1695.0,-557.0,-178.0,-186.0,763.0,30099.0,32688.0,-478.0,-3067.0,100,5.7,64.6,13.7,2.1,1.4,0.4,56.7,8.4,0.6,0.7,1.3,0.4,80.2,90.7,19.8,9.3,90,,25.0,8.0,5.0,,,39.0,7.0,,,5.0,,61.0,44.0,32.0,42.0,48.0,59.7,30.7,32.9,43.0,49.6,"(CONTRACTS OF GBP 62,500)",F10,FutOnly,0.74295175264,SHORT,-0.83795817264,LONG,0.199035369775,LONG
